Code,Innovation Name,Spatial Scale,Indicator Number,Indicator Name,Description,Metric,Category,slope_log,slope_exp,slope_lin,log_t0,log_Dt,log_K,exp_a,exp_c,lin_intercept,log_r2,log_r2adj,log_rmse,log_mae,exp_r2,exp_r2adj,exp_rmse,exp_mae,lin_r2,lin_r2adj,lin_rmse,lin_mae,n_data_points,n_non_zero_data_points,max_over_K,min_over_K,range_over_k,length_trimmed_series_years,n_data_points_beyond_max,n_data_points_beyond_min,suspected_reversal_up2down,suspected_reversal_down2up,at_least_one_big_jump,autocorr_l1,all_values_less_than_or_equal_to_1,all_values_less_than_or_equal_to_100,C1_R2,C2_threshold_non_zero_value_years,C3_pct_non_zero,C4_less_than_250_jump_in_second_half,C4_less_than_80_fall_in_second_half,C4_combined_less_than_80_fall_and_250_jump_in_second_half,C5_volatility_autocorrelation_lag1_threshold_0.7,C6_{K_COVERAGE_THRESHOLD}_of_k_covered_by_data,C7_lin_r2,use_log_x,use_lin_x,use_log_y,use_lin_y, old GN scoring @retreat,old GN comments,old CW scoring @retreat,comments_fit_CW,comments_delete_CW,comments_alternativeseries_CW,comments_transformations_CW,use_logfit_CW,use_linfit_CW,select_1.1_earegion_CW,select_1.1_allregions_CW,select_non1.1s_earegion_CW,select_non1.1s_allregions_CW,GN final scoring,use_logfit_GN,use_linfit_GN,select_1.1_earegion_GN,select_1.1_allregions_GN,select_non1.1s_earegion_GN,select_non1.1s_allregions_GN,PDF page,use_logfit_AGREE?,use_linfit_AGREE?,select_1.1_earegion_AGREE?,select_1.1_allregions_AGREE?,select_non1.1s_earegion_AGREE?,select_non1.1s_allregions_AGREE?,FINAL AGREED,use_logfit_FIN,use_linfit_FIN,select_1.1_earegion_FIN,select_1.1_allregions_FIN,select_non1.1s_earegion_FIN,select_non1.1s_allregions_FIN,Delete from working file,Unnamed: 89
act_chi_4.1Sal_d213_m100,active mobility,China,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,b7,2.095,0.076912,3.6253,2013.4,2.0976,61.747,0.67025,1963.9,-7267.6,0.79934,0.76393,14.129,9.9398,0.36338,0.29265,25.166,21.242,0.48439,0.4271,22.649,17.771,21,20,1.6195,0.017461,1.6021,21,8,20,1,0,1,0.93024,0,1,y,y,y,y,y,y,y,y,y,y,y,y,y,,,,,0,hide,original,1,1,0,0,0,0,,1,0,0,0,0,0,11,,check,,,,,,1,1,0,0,0,0,delete,
act_chi_4.1Sal_d239_m153,active mobility,China,4.1,Knowledge Flows (social networks),Partial up to max annualised Google search frequency (index 100=monthly max.),Partial up to max Index 0-100,b7,1.0431,0.49369,6.5779,2014.6,4.213,123.43,0.018792,1998.5,-13201,0.99639,0.99519,1.8903,1.5688,0.97515,0.97018,4.9601,3.8128,0.61177,0.53412,19.606,16.835,13,12,0.81017,0.0087349,0.80143,13,0,12,0,0,1,0.66032,0,1,y,y,y,y,y,y,m,y,y,m,m,y,y,,,,,0,prefer,transformed-partial,1,1,0,0,0,1,,1,1,0,0,0,1,12,,,,,,,,1,1,0,0,0,1,,
act_cop_1.1Ado_d121_m090,active mobility,Copenhagen,1.1,Adoption over time,Modal share of all trips by residents (bike),% trips by bike,b7,0.014241,0.0012979,0.0033675,2732.2,308.58,8395,1555.1,1.5745e+05,-6.4834,0.784,-inf,0.018985,0.018338,-38.206,-116.62,0.25578,0.2525,0.7454,0.23619,0.020612,0.020026,4,4,3.8118e-05,2.6206e-05,1.1912e-05,28,0,3,0,0,0,0.7008,1,1,y,m,y,y,y,y,y,m,y,m,m,m,m,2,,,,0,,,1,1,0,0,0,0,,1,1,0,0,0,0,13,,,,,,,,1,1,0,0,0,0,delete,
act_cop_1.1Ado_d122_m091,active mobility,Copenhagen,1.1,Adoption over time,Modal share of all trips by residents (walk),% trips by walking,b7,0.0018688,0.0010136,0.00030769,5036.4,2351.5,54.032,1555.1,1.5744e+05,-0.43046,0.007873,-inf,0.038254,0.031585,-23.203,-71.61,0.18894,0.185,0.0070404,-1.9789,0.03827,0.031692,4,4,0.0040716,0.0022209,0.0018507,28,3,2,0,1,0,0.63305,1,1,n,m,y,y,y,y,m,m,m,n,m,n,m,4,,"ok, use logfit",,0,,,0,0,0,0,0,0,,1,1,0,0,0,0,14,check,check,,,,,,1,1,0,0,0,0,delete,
act_cop_1.1Ado_d332_m185,active mobility,Copenhagen,1.1,Adoption over time,% trips by walking and biking,market share,b7,0.015233,0.0013115,0.0036752,2016.9,288.48,1,1555.2,1.5744e+05,-6.9138,0.36641,-inf,0.051084,0.045033,-46.472,-141.42,0.44218,0.4375,0.35971,-0.92086,0.051353,0.045256,4,4,0.52,0.34,0.18,28,0,2,0,1,0,0.6861,1,1,m,m,y,y,y,y,m,m,y,m,m,m,m,,,,,0,prefer-relative,transformed-marketshare,1,1,0,1,0,0,,1,1,0,1,0,0,15,,,,,,,,1,1,0,1,0,0,,
act_den_4.1Sal_d213_m100,active mobility,Denmark,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,b7,5.3823,0.046164,2.6871,2011.1,0.81647,61.49,1.2043,1938.2,-5371.1,0.6915,0.63706,17.672,13.516,0.18602,0.095577,28.705,24.86,0.26155,0.1795,27.341,23.166,21,20,1.6263,0.0025937,1.6237,21,9,16,1,1,1,0.94961,0,1,m,y,y,y,y,y,y,y,m,m,m,m,m,,,,,0,hide,original,1,1,0,0,0,0,,1,0,0,0,0,0,16,,check,,,,,,1,1,0,0,0,0,delete,
act_den_4.1Sal_d239_m153,active mobility,Denmark,4.1,Knowledge Flows (social networks),Partial up to max annualised Google search frequency (index 100=monthly max.),Partial up to max Index 0-100,b7,1.43,0.31326,9.5766,2011.7,3.073,98.11,0.0079543,1984.4,-19211,0.987,0.98212,4.3211,3.2716,0.89193,0.86791,12.458,10.933,0.76106,0.70796,18.524,16.71,12,11,1.0193,0.0016256,1.0176,12,0,7,0,1,1,0.79251,0,1,y,y,y,y,y,y,y,y,y,y,y,y,y,,,,,0,prefer,transformed-partial,1,1,0,0,0,1,,1,1,0,0,0,1,17,,,,,,,,1,1,0,0,0,1,,
act_glo_3.3Sci_d235_m020,active mobility,Global,3.3,Risk & Uncertainty (Shared Expectations),scientific publications,# publications,b7,0.098082,0.075253,339.27,2026.2,44.804,47724,0.0062414,1823.4,-6.7209e+05,0.98746,0.98672,674.84,429.14,0.98322,0.98257,780.65,440.85,0.79877,0.79103,2703.1,2313.6,55,55,0.43486,0.0017811,0.43307,55,2,54,0,0,1,0.95068,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,,,,"good; only available global, apply to all EA regions",0,,,1,1,0,0,1,1,,1,1,0,0,1,1,18,,,,,,,,1,1,0,0,1,1,,
act_net_1.1Ado_d167_m096,active mobility,The Netherlands,1.1,Adoption over time,Passenger kilometres travelled by bike,Billion p.km,b7,0.17814,0.013226,0.21626,1998.6,24.668,17.492,6.684,1948.1,-419.53,0.71531,0.64961,0.77647,0.65529,0.60366,0.54704,0.91615,0.789,0.62081,0.56664,0.89611,0.75497,17,17,1.0233,0.79466,0.22868,18,0,16,0,0,0,0.93926,0,1,y,y,y,y,y,y,y,y,y,y,y,y,y,1,,,,0,prefer-absolute,,1,1,2,2,0,0,,1,1,0,0,0,0,19,,,,,,,,1,1,0,0,0,0,delete,
act_net_1.1Ado_d168_m096,active mobility,The Netherlands,1.1,Adoption over time,Passenger kilometres travelled by foot,Billion p.km,b7,0.046231,0.04623,0.21548,2244.8,95.054,2.0889e+05,7.9874,2024.8,-428.98,0.82968,0.79038,0.52885,0.38906,0.82968,0.80535,0.52885,0.38906,0.7949,0.7656,0.58034,0.44108,17,17,3.8776e-05,1.6277e-05,2.25e-05,18,1,16,0,0,0,0.92009,0,1,y,y,y,y,y,y,y,m,y,m,y,m,y,2,,,,0,,,1,1,0,0,0,0,,1,1,0,0,0,0,20,,,,,,,,1,1,0,0,0,0,delete,
act_net_1.1Ado_d332_m185,active mobility,The Netherlands,1.1,Adoption over time,% trips by walking and biking,market share,b7,0.070443,0.026144,0.0035545,2006.4,62.383,0.21832,0.00085049,1820,-7.0219,0.97061,0.96383,0.0032828,0.0025168,0.96078,0.95518,0.0037921,0.0030679,0.96855,0.96406,0.0033959,0.0025786,17,17,0.7503,0.49115,0.25914,18,0,16,0,0,0,0.93891,1,1,y,y,y,y,y,y,y,y,y,y,y,y,y,,,,,0,prefer-relative,transformed-marketshare,1,1,1,1,0,0,,1,1,1,1,0,0,21,,,,,,,,1,1,1,1,0,0,,
act_net_2.9Int_d133_m139,active mobility,The Netherlands,2.9,Interdependence with hardware,Number of bicycles,million,b7,0.049239,0.016526,0.34781,1998.8,89.248,31.855,5.2018,1928.3,-678.94,0.87013,0.84416,0.79224,0.66204,0.85896,0.84133,0.82561,0.71719,0.86573,0.84894,0.80556,0.69208,19,19,0.75026,0.55877,0.19149,23,0,18,0,0,0,0.94783,0,1,y,y,y,y,y,y,y,m,y,m,y,m,y,4,,"ok, use logfit",,0,,,1,1,,,,,,1,1,0,0,1,1,22,,,,,,,,1,1,0,0,1,1,,
act_net_4.1Sal_d213_m100,active mobility,The Netherlands,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,b7,3.0888,0.038312,1.8942,2011.4,1.4227,51.304,2.0799,1941.4,-3780.9,0.52841,0.44519,19.881,15.557,0.10943,0.010474,27.321,22.73,0.15696,0.063294,26.582,21.903,21,20,1.9492,0.061706,1.8875,21,8,17,1,1,1,0.93508,0,1,m,y,y,y,y,y,y,y,m,m,m,m,m,,,,,0,hide,original,1,1,0,0,0,0,,1,0,0,0,0,0,23,,check,,,,,,1,1,0,0,0,0,delete,
act_net_4.1Sal_d239_m153,active mobility,The Netherlands,4.1,Knowledge Flows (social networks),Partial up to max annualised Google search frequency (index 100=monthly max.),Partial up to max Index 0-100,b7,1.1394,0.28365,8.1967,2012.4,3.8569,96.414,0.010827,1983.4,-16442,0.96663,0.95551,6.5285,5.043,0.89473,0.87368,11.596,10.341,0.73634,0.68361,18.352,16.877,13,12,1.0372,0.032835,1.0044,13,0,9,0,1,1,0.80207,0,1,y,y,y,m,y,m,y,y,y,m,m,m,m,,,,,0,prefer,transformed-partial,1,1,0,0,1,1,,1,1,0,0,1,1,24,,,,,,,,1,1,0,0,1,1,,
bal_ger_1.1Adod_m_0,Balcony Solar,Germany,1.1,Adoption over Time,Annual number of solar balcony (balcony power plant) installations registered in Germany,Number of installations (units),bal,4.9078,0.0083521,3283.9,2022.2,0.8954,2.9618e+05,325,1228.7,-6.3974e+06,0.25043,-1.9983,1.5633e+05,1.1478e+05,0.00041798,-0.99916,1.8052e+05,1.6729e+05,0.00066154,-0.99868,1.805e+05,1.6728e+05,5,5,1.5044,0.039243,1.4652,5,2,0,1,0,1,0.7299,0,0,n,n,y,y,m,m,y,y,m,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bal_ger_1.2Ford_m_0,Balcony Solar,Germany,1.2,Cumulative Installed Capacity,Total installed power capacity of solar balcony systems registered in Germany,Total power capacity (MW),bal,3.394,0.061119,24.791,2022.7,1.2948,327.2,0.077351,1891.7,-49924,0.27592,-1.8963,175.82,134.36,0.01792,-0.96416,204.77,182.52,0.028789,-0.94242,203.63,178.07,5,5,1.6356,0.046374,1.5892,5,1,0,1,0,1,0.66103,0,0,n,n,y,y,m,m,m,y,m,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbd_bra_1.1Adod_m_0,Mobile broadband,Brazil,1.1,Adoption over Time,Proportion of population covered by at least a 2G mobile network (%),%,bbd,0.32605,0.0023201,0.21482,1995.7,13.478,93.181,29.545,1525.3,-340.81,0.52449,0.38183,1.7609,1.3825,0.30683,0.1808,2.1261,1.8363,0.30995,0.18448,2.1213,1.8323,14,14,1.0284,0.9444,0.08403,20,6,13,1,0,0,0.93023,0,1,m,y,y,y,y,y,y,m,y,m,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbd_bra_1.1Adod_m_0,Mobile broadband,Brazil,1.1,Adoption over Time,Proportion of population covered by at least a 3G mobile network (%),%,bbd,0.73999,0.018969,1.7705,2008.6,5.9385,93.119,3.1993,1841.9,-3482.2,0.97142,0.96363,1.8734,1.6406,0.44485,0.35232,8.2568,6.9491,0.4765,0.38925,8.018,6.9569,15,15,1.0258,0.59064,0.43514,15,6,14,1,0,0,0.94743,0,1,y,y,y,y,y,y,y,y,y,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbd_bra_1.1Adod_m_0,Mobile broadband,Brazil,1.1,Adoption over Time,Proportion of population covered by at least a 4G mobile network (%),%,bbd,1.2276,0.073338,6.127,2013.4,3.5798,87.272,0.15867,1934.3,-12289,0.96672,0.95424,4.5814,3.9273,0.61684,0.5317,15.545,12.86,0.70936,0.64477,13.538,11.719,12,12,1.0678,0.11458,0.95323,12,0,11,0,0,1,0.92473,0,1,y,y,y,y,y,y,y,y,y,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbd_ger_1.1Adod_m_0,Mobile broadband,Germany,1.1,Adoption over Time,Proportion of population covered by at least a 2G mobile network (%),%,bbd,0.00032373,0.00031649,0.031326,13683,13574,4436.2,76.79,1204,36.137,0.41968,0.33263,0.2552,0.21287,0.41969,0.36443,0.2552,0.21287,0.41898,0.36365,0.25536,0.21295,24,24,0.022533,0.022317,0.0002164,24,0,23,0,0,0,0.95805,0,1,m,y,y,y,y,y,y,m,y,m,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbd_ger_1.1Adod_m_0,Mobile broadband,Germany,1.1,Adoption over Time,Proportion of population covered by at least a 3G mobile network (%),%,bbd,0.1864,0.012509,1.1965,2001.1,23.576,102.12,6.0176,1796.3,-2318.1,0.99212,0.98875,0.53928,0.43568,0.87925,0.84907,2.1114,1.6529,0.89413,0.86766,1.9771,1.5798,11,11,0.97889,0.78343,0.19546,16,0,10,0,0,0,0.91605,0,1,y,y,y,y,y,y,y,m,y,m,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbd_ger_1.1Adod_m_0,Mobile broadband,Germany,1.1,Adoption over Time,Proportion of population covered by at least a 4G mobile network (%),%,bbd,0.95313,0.031845,3.1359,2012,4.6105,99.389,1.1806,1881.1,-6235.3,0.97105,0.96019,2.4674,1.7368,0.51703,0.4097,10.078,8.3112,0.55727,0.45889,9.6489,8.0428,12,12,1.0057,0.53326,0.47249,12,0,11,0,0,0,0.9336,0,1,y,y,y,y,y,y,y,y,y,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbd_ita_1.1Adod_m_0,Mobile broadband,Italy,1.1,Adoption over Time,Proportion of population covered by at least a 2G mobile network (%),%,bbd,0.0002312,0.0002157,0.021478,13401,19007,1487.6,83.311,1178.6,56.505,0.15097,0.023621,0.3528,0.28166,0.15099,0.070131,0.35279,0.28166,0.15079,0.069908,0.35283,0.28171,24,24,0.067223,0.066551,0.00067223,24,10,15,1,1,0,0.95825,0,1,n,y,y,y,y,y,y,m,m,n,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbd_ita_1.1Adod_m_0,Mobile broadband,Italy,1.1,Adoption over Time,Proportion of population covered by at least a 3G mobile network (%),%,bbd,0.67476,0.017708,1.7787,2007.5,6.5126,100.62,3.7602,1833.8,-3490.7,0.95513,0.94392,2.4937,1.6977,0.45493,0.37108,8.6918,7.1243,0.48505,0.40582,8.4483,7.0099,16,16,0.99387,0.6162,0.37767,16,8,15,1,0,0,0.95033,0,1,y,y,y,y,y,y,y,y,y,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbd_ita_1.1Adod_m_0,Mobile broadband,Italy,1.1,Adoption over Time,Proportion of population covered by at least a 4G mobile network (%),%,bbd,2.3711,0.055738,5.5909,2013,1.8533,98.582,0.2033,1909.3,-11194,0.99554,0.99387,1.8338,1.4116,0.4233,0.29514,20.859,16.237,0.49371,0.38121,19.544,15.586,12,12,1.0144,0.07192,0.94247,12,4,11,1,0,1,0.93094,0,1,y,y,y,y,y,y,y,y,y,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbd_jap_1.1Adod_m_0,Mobile broadband,Japan,1.1,Adoption over Time,Proportion of population covered by at least a 2G mobile network (%),%,bbd,0.15836,0.00043865,0.043787,1972.4,27.75,100.01,69.537,1191,11.583,0.81608,0.78849,0.1647,0.12501,0.62189,0.58588,0.23615,0.21082,0.6229,0.58699,0.23583,0.21052,24,24,0.99888,0.98988,0.0089989,24,14,23,1,0,0,0.95851,0,1,y,y,y,y,y,y,y,m,y,m,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbd_jap_1.1Adod_m_0,Mobile broadband,Japan,1.1,Adoption over Time,Proportion of population covered by at least a 3G mobile network (%),%,bbd,-5.8298e-10,-1.4787e-10,0,1957.7,-7.5379e+09,199.8,99.9,1222.5,99.9,-5.0074e+13,-6.8851e+13,1.0056e-07,8.736e-08,-1.29e+13,-1.5767e+13,5.1041e-08,4.4317e-08,0,-0.22222,1.4211e-14,1.4211e-14,12,12,0.5,0.5,0,12,11,11,0,0,0,0.91667,0,1,n,y,y,y,y,y,y,m,m,n,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbd_jap_1.1Adod_m_0,Mobile broadband,Japan,1.1,Adoption over Time,Proportion of population covered by at least a 4G mobile network (%),%,bbd,15.298,0.0030602,0.3049,2011.9,0.28725,98.255,24.872,1572.6,-518.06,0.81755,0.74913,1.8612,1.394,0.056845,-0.15275,4.2316,3.3772,0.058349,-0.15091,4.2282,3.3843,12,12,1.0167,0.85492,0.16182,12,5,11,1,0,0,0.92647,0,1,y,y,y,y,y,y,y,m,m,m,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbd_net_1.1Adod_m_0,Mobile broadband,Netherlands,1.1,Adoption over Time,Proportion of population covered by at least a 2G mobile network (%),%,bbd,0.025628,0.00026294,0.026179,1833.2,171.47,100.57,76.891,1030.5,46.858,0.078746,-0.074797,0.65203,0.52715,0.077015,-0.020142,0.65265,0.52797,0.07705,-0.020103,0.65263,0.52795,22,22,0.99438,0.97449,0.019888,24,12,15,1,1,0,0.95477,0,1,n,y,y,y,y,y,y,m,m,n,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
