Code,Innovation Name,Spatial Scale,Indicator Number,Indicator Name,Description,Metric,Category,slope_log,slope_exp,slope_lin,log_t0,log_Dt,log_K,exp_a,exp_c,lin_intercept,log_r2,log_r2adj,log_rmse,log_mae,exp_r2,exp_r2adj,exp_rmse,exp_mae,lin_r2,lin_r2adj,lin_rmse,lin_mae,n_data_points,n_non_zero_data_points,max_over_K,min_over_K,range_over_k,length_trimmed_series_years,n_data_points_beyond_max,n_data_points_beyond_min,suspected_reversal_up2down,suspected_reversal_down2up,at_least_one_big_jump,autocorr_l1,all_values_less_than_or_equal_to_1,all_values_less_than_or_equal_to_100,C1_R2,C2_threshold_non_zero_value_years,C3_pct_non_zero,C4_less_than_250_jump_in_second_half,C4_less_than_80_fall_in_second_half,C4_combined_less_than_80_fall_and_250_jump_in_second_half,C5_volatility_autocorrelation_lag1_threshold_0.7,C6_{K_COVERAGE_THRESHOLD}_of_k_covered_by_data,C7_lin_r2,use_log,use_lin, GN scoring ,GN comments,CW scoring,Category_letters
act_cop_1.1Ado_d121_m090,active mobility,Copenhagen,1.1,Adoption over time,Modal share of all trips by residents (bike),% trips by bike,b7,0.014241,0.0012979,0.0033675,2698.2,308.57,5178.5,1555.1,1.5745e+05,-6.4834,0.784,-inf,0.018985,0.018338,-38.206,-116.62,0.25578,0.2525,0.7454,0.23619,0.020612,0.020026,4,4,6.1795e-05,4.2484e-05,1.9311e-05,28,0,3,0,0,0,0.7008,1,1,y,m,y,y,y,y,y,m,y,m,m,2,,,b
act_cop_1.1Ado_d122_m091,active mobility,Copenhagen,1.1,Adoption over time,Modal share of all trips by residents (walk),% trips by walking,b7,0.0018671,0.0010136,0.00030769,5398.8,2353.6,105.6,1555.1,1.5744e+05,-0.43046,0.0078745,-inf,0.038254,0.031586,-23.203,-71.61,0.18894,0.185,0.0070404,-1.9789,0.03827,0.031692,4,4,0.0020834,0.0011364,0.000947,28,3,2,0,1,0,0.63305,1,1,n,m,y,y,y,y,m,m,m,n,m,4,,"ok, use logfit",b
act_den_4.1Kso_d213_m100,active mobility,Denmark,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,b7,5.402,0.046164,2.6871,2011.1,0.81348,61.49,1.3191,1940.1,-5371.1,0.6915,0.63706,17.672,13.515,0.18602,0.095577,28.705,24.86,0.26155,0.1795,27.341,23.166,21,20,1.6263,0.0025938,1.6237,21,9,16,1,1,1,0.94961,0,1,m,y,y,y,y,y,y,y,m,m,m,,,,b
act_den_4.1Kso_d239_m153,active mobility,Denmark,4.1,Knowledge Flows (social networks),Partial up to max annualised Google search frequency (index 100=monthly max.),Partial up to max Index 0-100,b7,1.43,0.31327,9.5766,2011.7,3.073,98.11,0.0079377,1984.4,-19211,0.987,0.98212,4.3211,3.2716,0.89193,0.86791,12.458,10.933,0.76106,0.70796,18.524,16.71,12,11,1.0193,0.0016256,1.0176,12,0,7,0,1,1,0.79251,0,1,y,y,y,y,y,y,y,y,y,y,y,,,,b
act_glo_3.3Leg_d235_m020,active mobility,Global,3.3,Risk & Uncertainty (Shared Expectations),scientific publications,# publications,b7,0.098082,0.075253,339.27,2026.2,44.804,47724,0.0059608,1822.8,-6.7209e+05,0.98746,0.98672,674.84,429.14,0.98322,0.98257,780.65,440.85,0.79877,0.79103,2703.1,2313.6,55,55,0.43486,0.0017811,0.43308,55,2,54,0,0,1,0.95068,0,0,y,y,y,y,y,y,y,y,y,y,y,,,,b
act_net_1.1Ado_d167_m096,active mobility,The Netherlands,1.1,Adoption over time,Passenger kilometres travelled by bike,Billion p.km,b7,0.17815,0.013226,0.21626,1998.6,24.668,17.492,6.6659,1947.9,-419.53,0.71531,0.64961,0.77647,0.6553,0.60366,0.54704,0.91615,0.789,0.62081,0.56664,0.89611,0.75497,17,17,1.0233,0.79466,0.22868,18,0,16,0,0,0,0.93926,0,1,y,y,y,y,y,y,y,y,y,y,y,1,,,b
act_net_1.1Ado_d168_m096,active mobility,The Netherlands,1.1,Adoption over time,Passenger kilometres travelled by foot,Billion p.km,b7,0.046231,0.04623,0.21548,2241.6,95.054,1.8078e+05,7.9825,2024.7,-428.98,0.82968,0.79037,0.52885,0.38907,0.82968,0.80535,0.52885,0.38906,0.7949,0.7656,0.58034,0.44108,17,17,4.4806e-05,1.8807e-05,2.5998e-05,18,1,16,0,0,0,0.92009,0,1,y,y,y,y,y,y,y,m,y,m,y,2,,,b
act_net_2.9Int_d133_m139,active mobility,The Netherlands,2.9,Interdependence with hardware,Number of bicycles,million,b7,0.04924,0.016526,0.34781,1998.8,89.246,31.855,5.1298,1927.5,-678.94,0.87013,0.84416,0.79224,0.66204,0.85896,0.84133,0.82561,0.71719,0.86573,0.84894,0.80556,0.69208,19,19,0.75027,0.55878,0.19149,23,0,18,0,0,0,0.94783,0,1,y,y,y,y,y,y,y,m,y,m,y,4,,"ok, use logfit",b
act_net_4.1Kso_d213_m100,active mobility,The Netherlands,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,b7,3.0901,0.038321,1.8942,2011.4,1.4221,51.303,2.0418,1941,-3780.9,0.52841,0.44519,19.881,15.557,0.10943,0.010474,27.321,22.73,0.15696,0.063294,26.582,21.903,21,20,1.9492,0.061706,1.8875,21,8,17,1,1,1,0.93508,0,1,m,y,y,y,y,y,y,y,m,m,m,,,,b
act_net_4.1Kso_d239_m153,active mobility,The Netherlands,4.1,Knowledge Flows (social networks),Partial up to max annualised Google search frequency (index 100=monthly max.),Partial up to max Index 0-100,b7,1.1394,0.28364,8.1967,2012.4,3.8568,96.414,0.012954,1984,-16442,0.96663,0.95551,6.5285,5.043,0.89473,0.87368,11.596,10.341,0.73634,0.68361,18.352,16.877,13,12,1.0372,0.032835,1.0044,13,0,9,0,1,1,0.80207,0,1,y,y,y,m,y,m,y,y,y,m,m,,,,b
cli_ban_1.1Ado_d072_m017,climate protest,Bangladesh,1.1,Adoption over Time,Count of participants at protest events related to climate,# people (estimated),s3,-0.027296,0.089972,18.132,987.17,-160.99,-637.76,0.023617,1923.1,-36460,-0.12339,-0.49785,336.55,111.54,0.026697,-0.16796,313.27,169.47,0.045649,-0.14522,310.2,161.88,13,3,-1.8816,-0.1568,-1.7248,3,2,1,0,1,1,0.091681,0,0,n,n,y,y,y,y,m,m,m,n,n,4,,convert to cum,s
cli_ban_1.1Ado_d073_m019,climate protest,Bangladesh,1.1,Adoption over Time,Count of protest events related to climate,# protest events,s3,-0.068604,0.12799,1.8187,2528.3,-64.056,9.3846,9.1992,2017.2,-3658.9,-1.5987e-14,-0.33333,16.914,11.763,0.11556,-0.061327,15.907,10.359,0.16186,-0.0057636,15.485,9.6932,13,6,6.6066,0.31967,6.2869,13,4,12,1,0,1,0.43956,0,1,n,y,y,m,m,m,m,y,m,n,m,4,,convert to cum,s
cli_ban_1.1Ado_d240_m154,climate protest,Bangladesh,1.1,Adoption over Time,cumulative Count of participants at protest events related to climate,cumulative # people (estimated),s3,7.7138,0.26593,154.12,2018.8,0.56968,1412.6,1.2771e-07,1935.1,-3.1033e+05,0.99711,0.99614,36.015,17.574,0.76035,0.71241,327.78,282.62,0.74177,0.69012,340.25,287.02,13,5,1.0265,0.84952,0.17698,5,2,4,1,0,0,0.8106,0,0,y,n,y,y,y,y,y,m,y,n,n,,,,s
cli_ban_1.1Ado_d241_m155,climate protest,Bangladesh,1.1,Adoption over Time,cumulative Count of protest events related to climate,cumulative # protest events,s3,1.771,0.2891,11.418,2019.1,2.4814,115.39,0.0021787,1984.6,-22989,0.98523,0.9803,5.9341,4.8395,0.8599,0.83188,18.274,15.554,0.76568,0.71882,23.633,19.856,13,13,1.0572,0.025998,1.0313,13,0,12,0,0,1,0.81021,0,0,y,y,y,m,y,m,y,y,y,m,m,,,,s
cli_ban_4.1Kso_d213_m100,climate protest,Bangladesh,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,s3,-174.65,-0.060495,-0.64935,2009.9,-0.025161,16.667,-1523.3,-1.5477e+05,1312.6,0.125,-0.029412,19.92,7.9365,-0.05,-0.16667,21.822,4.7619,0.034091,-0.073232,20.93,9.0703,21,1,6,6,0,1,0,0,0,0,,,0,1,n,n,m,m,m,m,m,m,m,n,n,,,,s
cli_ban_4.1Kso_d239_m153,climate protest,Bangladesh,4.1,Knowledge Flows (social networks),Partial up to max annualised Google search frequency (index 100=monthly max.),Partial up to max Index 0-100,s3,15.7,,14.286,2009.1,0.2799,630.13,,,-28648,1,1,7.3853e-06,3.1967e-06,,,,,0.42857,0.047619,28.172,23.81,6,1,0.1587,0.1587,0,1,0,0,0,0,,,0,1,y,n,y,m,m,m,m,m,y,n,n,,,,s
cli_ger_1.1Ado_d072_m017,climate protest,Germany,1.1,Adoption over Time,Count of participants at protest events related to climate,# people (estimated),s3,60.624,0.20014,45.856,2019.2,0.072487,528.29,0.00038393,1953,-92329,0.35984,0.14645,325.24,152.67,0.14896,-0.021243,375,229.31,0.17816,0.013788,368.51,227.02,13,4,2.8785,0.17053,2.708,4,2,1,1,1,1,0.30332,0,0,m,n,y,y,m,m,m,y,m,n,n,4,,convert to cum,s
cli_ger_1.1Ado_d073_m019,climate protest,Germany,1.1,Adoption over Time,Count of protest events related to climate,# protest events,s3,0.55455,0.51177,54.467,2026,7.9243,5218.4,3.6135e-08,1976.3,-1.097e+05,0.92641,0.90188,71.314,50.782,0.92613,0.91136,71.446,51.438,0.601,0.5212,166.05,124.63,13,4,0.16844,0.062088,0.10635,4,0,3,0,0,1,0.53716,0,0,y,n,y,y,y,y,m,m,y,n,n,1,,,s
cli_ger_1.1Ado_d240_m154,climate protest,Germany,1.1,Adoption over Time,cumulative Count of participants at protest events related to climate,cumulative # people (estimated),s3,4.0104,0.42036,173.78,2020.4,1.0958,2064.6,4.5604e-10,1953.2,-3.5001e+05,0.99946,0.99928,19.559,8.4271,0.83947,0.80737,336.47,247.98,0.59945,0.51934,531.5,476.34,13,4,1.0236,0.19417,0.82942,4,0,3,0,0,1,0.71867,0,0,y,n,y,y,y,y,y,y,y,n,n,,,,s
cli_ger_1.1Ado_d241_m155,climate protest,Germany,1.1,Adoption over Time,cumulative Count of protest events related to climate,cumulative # protest events,s3,0.88526,0.6116,119.76,2022.7,4.964,3602,8.3646e-12,1968.8,-2.4123e+05,0.99123,0.98831,56.143,36.018,0.98566,0.98279,71.805,45.767,0.55863,0.47035,398.3,314.95,13,4,0.56107,0.089949,0.47112,4,0,3,0,0,1,0.56235,0,0,y,n,y,y,y,y,m,y,y,n,n,,,,s
cli_ger_4.1Kso_d213_m100,climate protest,Germany,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,s3,212.17,0.51165,1.778,2022.1,0.020712,73.455,6.8564,2019.5,-3574,0.87386,0.8516,8.1921,2.5281,0.56273,0.51414,15.253,6.7587,0.21788,0.13098,20.399,13.075,21,2,1.3614,0.63861,0.72277,2,1,0,0,0,1,0.38449,0,1,y,n,m,y,y,y,m,y,m,n,n,,,,s
cli_ger_4.1Kso_d239_m153,climate protest,Germany,4.1,Knowledge Flows (social networks),Partial up to max annualised Google search frequency (index 100=monthly max.),Partial up to max Index 0-100,s3,14.151,0.1354,1.4286,2023.2,0.31055,1197,1514.9,1.6151e+05,-2871.4,1,1,1.7456e-05,3.986e-06,-0.052632,-0.17647,22.361,5,0.14286,0.042017,20.178,11.143,20,1,0.083545,0.083545,0,1,0,0,0,0,,,0,1,y,n,m,m,m,m,m,m,m,n,n,,,,s
cli_glo_1.1Ado_d072_m017,climate protest,Global,1.1,Adoption over Time,Count of participants at protest events related to climate,# people (estimated),s3,31.314,0.22821,23497,2020,0.14034,2.8233e+05,1.1765e-10,1868.3,-4.7314e+07,0.53678,0.38238,1.082e+05,52394,0.28074,0.13688,1.3483e+05,80313,0.30582,0.16698,1.3246e+05,82335,13,6,2.1159,0.0025856,2.1133,6,2,5,1,0,1,0.47317,0,0,m,y,y,m,y,m,m,y,y,m,m,4,,convert to cum,s
cli_glo_1.1Ado_d073_m019,climate protest,Global,1.1,Adoption over Time,Count of protest events related to climate,# protest events,s3,2.5665,0.32388,286.75,2019.6,1.7123,3020.5,1.4801e-08,1942,-5.7748e+05,0.98971,0.98629,130.03,65.57,0.8161,0.77932,549.83,425.8,0.70027,0.64032,701.95,606.4,13,11,1.0826,0.00066214,1.0819,13,2,9,1,1,1,0.78507,0,0,y,y,y,m,y,m,y,y,y,m,m,1,,,s
cli_glo_1.1Ado_d240_m154,climate protest,Global,1.1,Adoption over Time,cumulative Count of participants at protest events related to climate,cumulative # people (estimated),s3,2.5763,0.43694,81308,2020.5,1.7057,1.0063e+06,2.4566e-18,1898.2,-1.6377e+08,0.99742,0.99656,19581,11049,0.89207,0.87049,1.2666e+05,96862,0.62265,0.54718,2.3684e+05,2.139e+05,13,6,1.0357,0.00072541,1.0349,6,0,5,0,0,1,0.71552,0,0,y,y,y,m,y,m,y,y,y,m,m,,,,s
cli_glo_1.1Ado_d241_m155,climate protest,Global,1.1,Adoption over Time,cumulative Count of protest events related to climate,cumulative # protest events,s3,1.1151,0.48939,804.64,2021.3,3.941,13189,2.9411e-13,1944.8,-1.6207e+06,0.99673,0.99564,216.78,146.76,0.96643,0.95972,694.65,536.66,0.63057,0.55668,2304.5,1960.4,13,13,0.8874,0.00053074,0.88687,13,0,12,0,0,1,0.66871,0,0,y,y,y,m,y,m,m,y,y,m,m,,,,s
cli_glo_3.3Leg_d235_m020,climate protest,Global,3.3,Risk & Uncertainty (Shared Expectations),scientific publications,# publications,s3,1.1684,0.27203,0.87143,2020.4,3.7609,109.63,1.3702,2007.4,-1731.3,0.9816,0.98052,3.4645,1.5596,0.9218,0.9188,7.1429,2.9621,0.29329,0.2661,21.474,14.652,55,18,1.0946,0.0091219,1.0855,18,1,17,0,0,1,0.83129,0,0,y,y,y,y,y,y,y,y,m,y,m,,,,s
cli_glo_4.1Kso_d213_m100,climate protest,Global,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,s3,0.4309,0.24422,4.2507,2021.4,10.198,125.07,0.12705,1996.5,-8539.3,0.94384,0.93393,7.3129,4.4112,0.92857,0.92063,8.2475,5.9196,0.69573,0.66192,17.022,14.887,21,13,0.79958,0.018351,0.78123,16,0,15,0,0,1,0.77068,0,1,y,y,y,m,y,m,y,y,y,m,m,,,,s
cli_glo_4.1Kso_d239_m153,climate protest,Global,4.1,Knowledge Flows (social networks),Partial up to max annualised Google search frequency (index 100=monthly max.),Partial up to max Index 0-100,s3,0.4309,0.24422,4.2507,2021.4,10.198,125.07,0.12705,1996.5,-8539.3,0.94384,0.93393,7.3129,4.4112,0.92857,0.92063,8.2475,5.9196,0.69573,0.66192,17.022,14.887,21,13,0.79958,0.018351,0.78123,16,0,15,0,0,1,0.77068,0,1,y,y,y,m,y,m,y,y,y,m,m,,,,s
cli_ind_1.1Ado_d072_m017,climate protest,India,1.1,Adoption over Time,Count of participants at protest events related to climate,# people (estimated),s3,0.10969,0.075956,3.6184,2304.9,40.063,571.46,1.0927,1975.7,-7273.1,-0.083333,-0.44444,91.325,25.329,0.013221,-0.18413,87.16,47.056,0.02381,-0.17143,86.692,45.648,13,1,0.5762,0.5762,0,1,0,0,0,0,,,0,0,n,n,m,m,m,m,m,m,m,n,n,4,,convert to cum,s
cli_ind_1.1Ado_d073_m019,climate protest,India,1.1,Adoption over Time,Count of protest events related to climate,# protest events,s3,35.876,0.11054,1.5165,2018.1,0.12249,21.032,10.015,2018.9,-3050.4,0.22756,-0.029918,18.389,9.2383,0.047804,-0.14264,20.417,11.21,0.073545,-0.11175,20.139,10.661,13,7,3.8038,0.095094,3.7087,8,4,7,1,0,1,0.067222,0,1,n,y,y,m,m,m,m,y,m,n,m,4,,convert to cum,s
cli_ind_1.1Ado_d240_m154,climate protest,India,1.1,Adoption over Time,cumulative Count of participants at protest events related to climate,cumulative # people (estimated),s3,51.066,0.25163,36.184,2018.5,0.086055,329.28,0.00012215,1963.2,-72857,1,1,2.6079e-09,7.8001e-10,0.70751,0.64901,86.638,72.408,0.71429,0.65714,85.628,71.812,13,5,1,1,0,5,4,4,0,0,0,0.8,0,0,y,n,y,y,y,y,y,m,y,n,n,,,,s
cli_ind_1.1Ado_d241_m155,climate protest,India,1.1,Adoption over Time,cumulative Count of protest events related to climate,cumulative # protest events,s3,4.7521,0.27198,10.907,2018.6,0.92473,98.854,0.0046435,1985.3,-21961,0.98958,0.98611,4.7477,2.5854,0.80288,0.76345,20.653,17.791,0.76959,0.72351,22.329,19.196,13,8,1.1026,0.020232,1.0824,8,0,7,0,0,1,0.80069,0,0,y,y,y,y,y,y,y,y,y,y,y,,,,s
cli_ind_4.1Kso_d213_m100,climate protest,India,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,s3,14.147,0.12314,1.2987,2024.2,0.31062,1199.6,1518.4,1.6116e+05,-2610.8,1,1,1.7089e-05,3.8083e-06,-0.05,-0.16667,21.822,4.7619,0.13636,0.040404,19.791,10.719,21,1,0.083361,0.083361,0,1,0,0,0,0,,,0,1,y,n,m,m,m,m,m,m,m,n,n,,,,s
cli_ind_4.1Kso_d239_m153,climate protest,India,4.1,Knowledge Flows (social networks),Partial up to max annualised Google search frequency (index 100=monthly max.),Partial up to max Index 0-100,s3,14.147,0.12314,1.2987,2024.2,0.31062,1199.6,1518.4,1.6116e+05,-2610.8,1,1,1.7089e-05,3.8083e-06,-0.05,-0.16667,21.822,4.7619,0.13636,0.040404,19.791,10.719,21,1,0.083361,0.083361,0,1,0,0,0,0,,,0,1,y,n,m,m,m,m,m,m,m,n,n,,,,s
cli_swe_1.1Ado_d072_m017,climate protest,Sweden,1.1,Adoption over Time,Count of participants at protest events related to climate,# people (estimated),s3,33.316,0.39541,9.4124,2021,0.1319,140.35,0.007599,1998.3,-18958,0.7728,0.69706,27.045,11.823,0.52763,0.43316,38.996,22.563,0.38528,0.26234,44.485,30.453,13,4,1.4826,0.12992,1.3527,4,1,3,1,0,1,0.49868,0,0,y,n,y,m,y,m,m,y,y,n,n,2,,,s
cli_swe_1.1Ado_d073_m019,climate protest,Sweden,1.1,Adoption over Time,Count of protest events related to climate,# protest events,s3,12.04,0.32417,56.709,2019.8,0.36499,582.33,4.7697e-06,1964.9,-1.1421e+05,0.99913,0.99883,7.7889,3.3362,0.75556,0.70668,130.26,105.59,0.64864,0.57837,156.17,135.72,13,4,1.0372,0.91528,0.12192,4,1,3,1,0,0,0.76673,0,0,y,n,y,y,y,y,y,m,y,n,n,2,,,s
cli_swe_1.1Ado_d240_m154,climate protest,Sweden,1.1,Adoption over Time,cumulative Count of participants at protest events related to climate,cumulative # people (estimated),s3,2.6543,0.66529,20.529,2021.5,1.6556,352.53,6.7468e-07,1992.8,-41354,0.99895,0.9986,3.5866,1.3559,0.93473,0.92168,28.297,17.446,0.48096,0.37715,79.796,67.345,13,4,0.97722,0.051724,0.92549,4,0,3,0,0,1,0.56941,0,0,y,n,y,m,y,m,m,y,y,n,n,,,,s
cli_swe_1.1Ado_d241_m155,climate protest,Sweden,1.1,Adoption over Time,cumulative Count of protest events related to climate,cumulative # protest events,s3,1.2172,0.50547,155.48,2021.2,3.6102,2506.2,7.0126e-11,1961.3,-3.1318e+05,0.99421,0.99228,56.675,35.322,0.9586,0.95032,151.55,110.35,0.61008,0.53209,465.1,390.16,13,4,0.90975,0.21267,0.69708,4,0,3,0,0,1,0.66346,0,0,y,n,y,y,y,y,m,y,y,n,n,,,,s
cli_uki_1.1Ado_d072_m017,climate protest,UK,1.1,Adoption over Time,Count of participants at protest events related to climate,# people (estimated),s3,34.757,0.30546,7.7839,2020,0.12643,90.488,0.038129,1997.4,-15676,0.76956,0.69274,20.826,8.9841,0.50406,0.40488,30.552,18.916,0.45069,0.34083,32.154,22.168,13,4,1.6453,0.48173,1.1636,4,2,3,1,0,1,0.52026,0,0,y,n,y,y,y,y,m,y,y,n,n,,,,s
cli_uki_1.1Ado_d073_m019,climate protest,UK,1.1,Adoption over Time,Count of protest events related to climate,# protest events,s3,142.71,0.24732,17.473,2019.3,0.030793,189.25,0.00079707,1972.8,-35184,0.87997,0.83996,32.259,14.538,0.47821,0.37385,67.26,53.355,0.49297,0.39156,66.302,56.159,13,4,1.2999,0.50198,0.79788,4,2,0,1,0,0,0.76721,0,0,y,n,y,y,y,y,y,y,y,n,n,,,,s
cli_uki_1.1Ado_d240_m154,climate protest,UK,1.1,Adoption over Time,cumulative Count of participants at protest events related to climate,cumulative # people (estimated),s3,1.8486,0.49875,21.862,2020.8,2.3772,299.76,7.557e-06,1987.7,-44036,0.98664,0.98219,12.283,7.1154,0.92823,0.91387,28.469,20.974,0.59255,0.51106,67.831,59.387,13,4,1.051,0.14542,0.90559,4,0,3,0,0,1,0.66258,0,0,y,n,y,y,y,y,m,y,y,n,n,,,,s
cli_uki_1.1Ado_d241_m155,climate protest,UK,1.1,Adoption over Time,cumulative Count of protest events related to climate,cumulative # protest events,s3,1.583,0.44845,57.28,2020.7,2.7761,761.13,1.5162e-07,1973,-1.1537e+05,0.99558,0.99411,17.882,10.144,0.92288,0.90746,74.721,56.01,0.63448,0.56138,162.67,141.98,13,4,0.99458,0.29824,0.69634,4,0,3,0,0,1,0.71636,0,0,y,n,y,y,y,y,y,y,y,n,n,,,,s
cli_uki_4.1Kso_d213_m100,climate protest,UK,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,s3,0.67755,0.30176,3.9101,2021.2,6.4858,109.82,0.1268,2001.7,-7856.7,0.95278,0.94445,6.641,4.2123,0.92657,0.91841,8.2817,5.1799,0.6002,0.55577,19.324,15.549,21,8,0.91056,0.065414,0.84515,11,0,8,0,1,1,0.73322,0,1,y,y,y,y,y,y,y,y,y,y,y,,,,s
