,adjustment,cluster,indicator,spatial,i_ID,j_ID,i_innovation,j_innovation,i_metric,j_metric,i_description,j_description,t0,Dt,K,R_square,R_square_adj,R_square_weighted,time_lag,slope_ratio
3804,Original data,All,1.1,Germany,Germany - time-and-work redesign - share of working population in part time - %,Germany - eating less meat - red meat as a share of meat consumption - market share,time-and-work redesign,eating less meat,%,market share,share of working population in part time,red meat as a share of meat consumption,2147.7864657561777,58.51926488410471,272617.14372311323,0.29174565581560796,0.2585462334319646,0.0,83.90000000000009,
3805,Original data,All,1.1,Germany,Germany - time-and-work redesign - share of working population in part time - %,Germany - email - Individuals who sent e-mails with attached files in the last 3 months - %,time-and-work redesign,email,%,%,share of working population in part time,Individuals who sent e-mails with attached files in the last 3 months,2001.9606487081664,16.37154994902052,49.93367312875798,0.16288828123442178,0.037321523419585056,0.0,-33.90000000000009,5.860040253909274
3806,Original data,All,1.1,Germany,Germany - time-and-work redesign - share of working population in part time - %,Germany - heat pumps - Annual production of air-source heat pumps - Units (number of heat pumps),time-and-work redesign,heat pumps,%,Units (number of heat pumps),share of working population in part time,Annual production of air-source heat pumps,2023.515554543877,25.616063102055058,262892.86228955723,0.17942864707766215,0.08474733712508475,0.02204482211314151,-78.60000000000036,0.5944948364550202
3807,Original data,All,1.1,Germany,Germany - time-and-work redesign - share of working population in part time - %,Germany - household electricity access - Access to electricity as share of total population - % of population with access to electricity,time-and-work redesign,household electricity access,%,% of population with access to electricity,share of working population in part time,Access to electricity as share of total population,1497.5409833216356,-338.28425442214075,58662.953334777616,0.08785582496641475,0.02836816137726783,,-98.79999999999973,
3808,Original data,All,1.1,Germany,Germany - time-and-work redesign - share of working population in part time - %,Germany - household internet access - Fixed broadband subscriptions (per 100 people) - %,time-and-work redesign,household internet access,%,%,share of working population in part time,Fixed broadband subscriptions (per 100 people),1994.0259454978823,1.020697913831335,11.784759916275258,0.0,-0.08333333333333326,0.0,-14.30000000000041,0.382294270636063
3809,Original data,All,1.1,Germany,Germany - time-and-work redesign - share of working population in part time - %,Germany - mobile broadband - aggregate of 2 time series: 3G coverage; 4G coverage - % of population covered by at least a {3G/4G} mobile network (%),time-and-work redesign,mobile broadband,%,% of population covered by at least a {3G/4G} mobile network (%),share of working population in part time,aggregate of 2 time series: 3G coverage; 4G coverage,2024.002832963583,-0.2786840349460359,62.30016085100054,0.02630600657482396,-0.0780183498635878,0.0,-8.600000000000136,0.797639745008166
3810,Original data,All,1.1,Germany,Germany - time-and-work redesign - share of working population in part time - %,Germany - mobile/cellphone - aggregate of 3 time series: subscriptions; phone use; phone ownership - % of individuals who own/use/subscribe mobile cellular telephone,time-and-work redesign,mobile/cellphone,%,% of individuals who own/use/subscribe mobile cellular telephone,share of working population in part time,aggregate of 3 time series: subscriptions; phone use; phone ownership,1999.7247084785613,7.217823063026018,74.83706314513822,0.44270245513678674,0.40713027142211355,0.48805843756927375,-7.7000000000000455,0.27071487322533355
3811,Original data,All,1.1,Germany,Germany - time-and-work redesign - share of working population in part time - %,Germany - personal computer - households with a computer - %,time-and-work redesign,personal computer,%,%,share of working population in part time,households with a computer,2152.3749664394795,58.27212506328878,520908.61778324243,0.22811978026070479,0.1509317582867753,0.0,-7.099999999999909,0.5960629921259843
3812,Original data,All,1.1,Germany,Germany - time-and-work redesign - share of working population in part time - %,Germany - social media - Individuals who participated in social networks in the last 3 months - %,time-and-work redesign,social media,%,%,share of working population in part time,Individuals who participated in social networks in the last 3 months,1999.7157066188604,33.88672128141038,43.570543041399915,0.31752432502166283,0.23221486564937066,0.0,-456.6999999999998,9.90319204604919
3813,Original data,All,1.1,Germany,Germany - time-and-work redesign - share of working population in part time - %,Germany - teleworking/commuting - Partial up to 2019 Employed persons teleworking as a percentage of the total employment (%) - Partial up to 2019 Percentage of total employment,time-and-work redesign,teleworking/commuting,%,Partial up to 2019 Percentage of total employment,share of working population in part time,Partial up to 2019 Employed persons teleworking as a percentage of the total employment (%),1994.1083602183514,0.7852794494424004,21.127136363548146,0.0,-0.16666666666666674,0.0,-28.000000000000227,0.8573046432616082
3814,Original data,All,1.1,Germany,Germany - time-and-work redesign - share of working population in part time - %,Germany - time-and-work redesign - share of working population in part time - %,time-and-work redesign,time-and-work redesign,%,%,share of working population in part time,share of working population in part time,1992.6339634865699,29.02506290063417,31.426066682369967,0.9746085025205625,0.9682606281507031,0.9746085025205625,0.0,1.0
3815,Original data,All,1.1,Germany,Germany - world wide web - Individuals using the internet - %,Germany - balcony solar - Annual number of solar balcony (balcony power plant) installations registered in Germany - Number of installations (units),world wide web,balcony solar,%,Number of installations (units),Individuals using the internet,Annual number of solar balcony (balcony power plant) installations registered in Germany,2022.7488165498278,1.6749022659862274,225428.07576921044,0.46590814601876007,0.42140049152032344,0.0006586866187823504,-20.30000000000041,
3816,Original data,All,1.1,Germany,Germany - world wide web - Individuals using the internet - %,Hamburg - car ownership (foregoing) - cars per person - market share,world wide web,car ownership (foregoing),%,market share,Individuals using the internet,cars per person,2000.011991467342,5.556845330206832,29.83434789748267,0.08388176201075492,0.04864644516501471,0.0,20.06382978723309,6.107957204948179
3817,Original data,All,1.1,Germany,Germany - world wide web - Individuals using the internet - %,Berlin - car ownership (foregoing) - cars per person PARTIAL FROM MAX ONWARDS - market share,world wide web,car ownership (foregoing),%,market share,Individuals using the internet,cars per person PARTIAL FROM MAX ONWARDS,1999.588382454675,4.650464422900235,51.494969965033235,0.23947945080590605,0.18762577699721783,0.366421142612736,-129.69999999999982,
3818,Original data,All,1.1,Germany,Germany - world wide web - Individuals using the internet - %,Germany - car sharing - share of drivers who car share - market share,world wide web,car sharing,%,market share,Individuals using the internet,share of drivers who car share,2002.2938541194303,12.335341377574622,45.69963267022751,0.18662826290939838,0.14455731099091895,0.101579770197034,-20.300000000000182,1.6171331316187587
3819,Original data,All,1.1,Germany,Germany - world wide web - Individuals using the internet - %,Germany - cloud computing & SaaS - International bandwith usage (Mb/s/cap) NORMALISED to sample MAX=1) - Mb/s/cap NORMALISED TO SAMPLE MAX,world wide web,cloud computing & SaaS,%,Mb/s/cap NORMALISED TO SAMPLE MAX,Individuals using the internet,International bandwith usage (Mb/s/cap) NORMALISED to sample MAX=1),2037.8008568315095,52.55888709076042,414.9391434256463,0.37041239523932956,0.3326371389536894,0.2679849532217862,-4.7000000000000455,0.692409839516769
3820,Original data,All,1.1,Germany,Germany - world wide web - Individuals using the internet - %,Germany - co-housing - share of population living in co-housing projects - market share,world wide web,co-housing,%,market share,Individuals using the internet,share of population living in co-housing projects,2003.0292667475205,13.535303356085391,89.17333981847281,0.9226326061777024,0.9160011152786482,0.8796048866061863,6.999999999999545,2.160317299919159
3821,Original data,All,1.1,Germany,Germany - world wide web - Individuals using the internet - %,Germany - digital (non-cash) payments - Individuals using internet banking (within last 3 months) - %,world wide web,digital (non-cash) payments,%,%,Individuals using the internet,Individuals using internet banking (within last 3 months),2002.076196094267,14.298077253861788,70.79832889288085,0.6803033402433556,0.6614976543753177,0.5322246036721261,-3.000000000000682,2.368808864265928
3822,Original data,All,1.1,Germany,Germany - world wide web - Individuals using the internet - %,Germany - digital skills - aggregate of 3 time series: VoIP/messaging; content creation; programming - % of individuals doing activity X,world wide web,digital skills,%,% of individuals doing activity X,Individuals using the internet,aggregate of 3 time series: VoIP/messaging; content creation; programming,2002.3062845827017,17.795359807701075,59.351021332864406,0.34581817779300594,0.3094747432259508,0.32981174918422274,-209.60000000000036,7.087187137410906
3823,Original data,All,1.1,Germany,Germany - world wide web - Individuals using the internet - %,Germany - e-commerce - Individuals purchasing or ordering goods or services - %,world wide web,e-commerce,%,%,Individuals using the internet,Individuals purchasing or ordering goods or services,2003.1757845108186,15.930961878943638,78.26536770640378,0.8034337079529852,0.7920933449502727,0.5565021433851486,-3.7000000000000455,1.8156609622489268
3824,Original data,All,1.1,Germany,Germany - world wide web - Individuals using the internet - %,Germany - e-government - Taking part in online consultations or voting to define civic or political issues (% of individuals in last 3 months) - %,world wide web,e-government,%,%,Individuals using the internet,Taking part in online consultations or voting to define civic or political issues (% of individuals in last 3 months),2000.155024203158,5.529726331629975,61.074144340585086,0.41273692222434955,0.3686921913911758,0.5907645983962445,-23.000000000000682,
3825,Original data,All,1.1,Germany,Germany - world wide web - Individuals using the internet - %,Germany - eating less meat - red meat as a share of meat consumption - market share,world wide web,eating less meat,%,market share,Individuals using the internet,red meat as a share of meat consumption,2005.2544245422741,21.983231383816207,56.75619942851114,0.3604020560076504,0.3372840580320233,0.10609106979134071,93.19999999999982,
3826,Original data,All,1.1,Germany,Germany - world wide web - Individuals using the internet - %,Germany - email - Individuals who sent e-mails with attached files in the last 3 months - %,world wide web,email,%,%,Individuals using the internet,Individuals who sent e-mails with attached files in the last 3 months,2001.6094782574405,9.587704022930197,82.99989778005339,0.9742493440727834,0.9722685243860745,0.8036274367575692,-24.600000000000364,16.54938845022449
3827,Original data,All,1.1,Germany,Germany - world wide web - Individuals using the internet - %,Germany - heat pumps - Annual production of air-source heat pumps - Units (number of heat pumps),world wide web,heat pumps,%,Units (number of heat pumps),Individuals using the internet,Annual production of air-source heat pumps,2022.8506321636846,19.657876656573915,250615.56987077923,0.25898331829366983,0.20958220617991452,0.0,-69.30000000000064,1.6789178152118425
3828,Original data,All,1.1,Germany,Germany - world wide web - Individuals using the internet - %,Germany - household electricity access - Access to electricity as share of total population - % of population with access to electricity,world wide web,household electricity access,%,% of population with access to electricity,Individuals using the internet,Access to electricity as share of total population,1993.4165627304278,38.627154401132806,100.96697358269824,0.2654692324260859,0.23156781238421287,,-89.5,
3829,Original data,All,1.1,Germany,Germany - world wide web - Individuals using the internet - %,Germany - household internet access - Fixed broadband subscriptions (per 100 people) - %,world wide web,household internet access,%,%,Individuals using the internet,Fixed broadband subscriptions (per 100 people),2002.1496693163397,15.018010039549244,46.63693729153427,0.1635239630260027,0.11789799737287554,0.11273024832006523,-5.000000000000682,1.0796404312804586
3830,Original data,All,1.1,Germany,Germany - world wide web - Individuals using the internet - %,Germany - mobile broadband - aggregate of 2 time series: 3G coverage; 4G coverage - % of population covered by at least a {3G/4G} mobile network (%),world wide web,mobile broadband,%,% of population covered by at least a {3G/4G} mobile network (%),Individuals using the internet,aggregate of 2 time series: 3G coverage; 4G coverage,2002.4092607510631,12.065635921072353,92.20660675381725,0.9828988755548245,0.981807314420026,0.7824495259825502,0.6999999999995907,2.252621042094726
3831,Original data,All,1.1,Germany,Germany - world wide web - Individuals using the internet - %,Germany - mobile/cellphone - aggregate of 3 time series: subscriptions; phone use; phone ownership - % of individuals who own/use/subscribe mobile cellular telephone,world wide web,mobile/cellphone,%,% of individuals who own/use/subscribe mobile cellular telephone,Individuals using the internet,aggregate of 3 time series: subscriptions; phone use; phone ownership,2000.9971095628944,9.040193500584241,95.30438005802733,0.9409239421045117,0.9382386667456258,0.9372764755222953,1.5999999999996817,0.7645281264528128
3832,Original data,All,1.1,Germany,Germany - world wide web - Individuals using the internet - %,Germany - personal computer - households with a computer - %,world wide web,personal computer,%,%,Individuals using the internet,households with a computer,2041.0016359054353,54.845063998394096,487.8334872233442,0.36751700468257587,0.3287935559896723,0.2825605722999652,2.199999999999818,1.6833464566929135
3833,Original data,All,1.1,Germany,Germany - world wide web - Individuals using the internet - %,Germany - social media - Individuals who participated in social networks in the last 3 months - %,world wide web,social media,%,%,Individuals using the internet,Individuals who participated in social networks in the last 3 months,2000.717556239381,6.7141607171600555,70.48152632835135,0.7533985841874133,0.7361938342470002,0.6676965605253712,-447.4000000000001,27.967687074829932
3834,Original data,All,1.1,Germany,Germany - world wide web - Individuals using the internet - %,Germany - teleworking/commuting - Partial up to 2019 Employed persons teleworking as a percentage of the total employment (%) - Partial up to 2019 Percentage of total employment,world wide web,teleworking/commuting,%,Partial up to 2019 Percentage of total employment,Individuals using the internet,Partial up to 2019 Employed persons teleworking as a percentage of the total employment (%),2000.3689350831764,5.909121795677752,64.70457705715604,0.4484022936850156,0.40367815533515206,0.6926541848902432,-18.7000000000005,2.4211211778029442
3835,Original data,All,1.1,Germany,Germany - world wide web - Individuals using the internet - %,Germany - time-and-work redesign - share of working population in part time - %,world wide web,time-and-work redesign,%,%,Individuals using the internet,share of working population in part time,2000.9471699840997,9.329741567313151,64.11311022313967,0.5400195989548073,0.510659147824263,0.5377872470490171,9.299999999999727,2.8241083223249666
3836,Original data,All,1.1,Germany,Germany - world wide web - Individuals using the internet - %,Germany - world wide web - Individuals using the internet - %,world wide web,world wide web,%,%,Individuals using the internet,Individuals using the internet,2001.9120710975124,10.277837877413177,87.13579171984412,0.9928310545224522,0.9921372856052701,0.9928310545224522,0.0,1.0
3837,Original data,All,1.1,The Netherlands,The Netherlands - active mobility - % trips by walking and biking - market share,The Netherlands - active mobility - % trips by walking and biking - market share,active mobility,active mobility,market share,market share,% trips by walking and biking,% trips by walking and biking,2006.3938141354627,62.38344015480065,0.21832036865061655,0.9706117885077894,0.9638298935480485,0.9706117885077894,0.0,1.0
3838,Original data,All,1.1,The Netherlands,Amsterdam - active mobility - % trips by walking and biking EXCLUDING 1930 - market share,The Netherlands - active mobility - % trips by walking and biking - market share,active mobility,active mobility,market share,market share,% trips by walking and biking EXCLUDING 1930,% trips by walking and biking,1968.3866670835596,3.711588727034188e-05,0.24501532490834418,0.0,-0.1428571428571428,0.0,-37.100000000000136,15.724770381727067
3839,Original data,All,1.1,The Netherlands,Amsterdam - active mobility - % trips by walking and biking EXCLUDING 1930 - market share,Amsterdam - active mobility - % trips by walking and biking EXCLUDING 1930 - market share,active mobility,active mobility,market share,market share,% trips by walking and biking EXCLUDING 1930,% trips by walking and biking EXCLUDING 1930,1969.3269830043046,0.0002912862748926316,0.477499999961916,0.0,-0.75,0.0,0.0,1.0
3840,Original data,All,1.1,The Netherlands,The Netherlands - e-bikes - e-bikes as a share of bikes sold - market share,The Netherlands - active mobility - % trips by walking and biking - market share,e-bikes,active mobility,market share,market share,e-bikes as a share of bikes sold,% trips by walking and biking,2013.966366372574,24.977747655847725,0.41343700737542777,0.29594807085804775,0.1953692238377689,0.0,13.099999999999909,2.7190778359808636
3841,Original data,All,1.1,The Netherlands,The Netherlands - e-bikes - e-bikes as a share of bikes sold - market share,Amsterdam - active mobility - % trips by walking and biking EXCLUDING 1930 - market share,e-bikes,active mobility,market share,market share,e-bikes as a share of bikes sold,% trips by walking and biking EXCLUDING 1930,2081.4402572312865,-115.46526874135243,0.4732823796263132,0.013403139775071238,-0.23324607528116093,0.0,50.200000000000045,0.1729168547440643
3842,Original data,All,1.1,The Netherlands,The Netherlands - e-bikes - e-bikes as a share of bikes sold - market share,The Netherlands - e-bikes - e-bikes as a share of bikes sold - market share,e-bikes,e-bikes,market share,market share,e-bikes as a share of bikes sold,e-bikes as a share of bikes sold,2020.1052054656213,23.936740328849055,1.0615630002637833,0.9741163887969275,0.9547036803946232,0.9741163887969275,0.0,1.0
3843,Original data,All,1.1,The Netherlands,The Netherlands - eating less meat - % red in total meat consumption - % kg/yr,The Netherlands - active mobility - % trips by walking and biking - market share,eating less meat,active mobility,% kg/yr,market share,% red in total meat consumption,% trips by walking and biking,1156.9813268254961,-399.5087068487444,2737.364923078349,0.29520391507754773,0.2631677293992545,0.0,-2512.34,
3844,Original data,All,1.1,The Netherlands,The Netherlands - eating less meat - % red in total meat consumption - % kg/yr,Amsterdam - active mobility - % trips by walking and biking EXCLUDING 1930 - market share,eating less meat,active mobility,% kg/yr,market share,% red in total meat consumption,% trips by walking and biking EXCLUDING 1930,-0.5159858129167338,-2101.0693567148905,21.37973996762671,0.015849261777122092,-0.03594814549776615,0.0,-2475.24,
3845,Original data,All,1.1,The Netherlands,The Netherlands - eating less meat - % red in total meat consumption - % kg/yr,The Netherlands - e-bikes - e-bikes as a share of bikes sold - market share,eating less meat,e-bikes,% kg/yr,market share,% red in total meat consumption,e-bikes as a share of bikes sold,5658.563876437069,2429.1124256883977,236.5890106328387,0.015489765606202632,-0.03632656251978683,0.0,-2525.44,
3846,Original data,All,1.1,The Netherlands,The Netherlands - eating less meat - % red in total meat consumption - % kg/yr,The Netherlands - eating less meat - % red in total meat consumption - % kg/yr,eating less meat,eating less meat,% kg/yr,% kg/yr,% red in total meat consumption,% red in total meat consumption,-505.2785470883419,-1362.9622321248248,954.3561798997187,0.09425325106016802,0.03879936847201515,0.09425325106016802,0.0,
3847,Original data,All,1.1,The Netherlands,The Netherlands - energy communities - share of population in energy communities - market share,The Netherlands - active mobility - % trips by walking and biking - market share,energy communities,active mobility,market share,market share,share of population in energy communities,% trips by walking and biking,2004.7224680436789,0.8422586910973459,0.06607763454140582,0.24393005714850158,0.19945535462782527,0.0,10.200000000000728,6.228723932825122
3848,Original data,All,1.1,The Netherlands,The Netherlands - energy communities - share of population in energy communities - market share,Amsterdam - active mobility - % trips by walking and biking EXCLUDING 1930 - market share,energy communities,active mobility,market share,market share,share of population in energy communities,% trips by walking and biking EXCLUDING 1930,1967.8042635979648,3.1362749252358096e-05,0.08414911002304111,1.1102230246251565e-16,-0.07142857142857117,0.0,47.300000000000864,0.39610905479823066
3849,Original data,All,1.1,The Netherlands,The Netherlands - energy communities - share of population in energy communities - market share,The Netherlands - e-bikes - e-bikes as a share of bikes sold - market share,energy communities,e-bikes,market share,market share,share of population in energy communities,e-bikes as a share of bikes sold,2013.8893834100058,3.241967931888499,0.19930646094098578,0.31764316932244896,0.2689033957026239,0.0,-2.8999999999991815,2.2907486686853926
3850,Original data,All,1.1,The Netherlands,The Netherlands - energy communities - share of population in energy communities - market share,The Netherlands - eating less meat - % red in total meat consumption - % kg/yr,energy communities,eating less meat,market share,% kg/yr,share of population in energy communities,% red in total meat consumption,1598.1884400506272,-167.19596968951933,6127.683353816022,0.15290079892653186,0.12369048164813645,0.0,2522.540000000001,
3851,Original data,All,1.1,The Netherlands,The Netherlands - energy communities - share of population in energy communities - market share,The Netherlands - energy communities - share of population in energy communities - market share,energy communities,energy communities,market share,market share,share of population in energy communities,share of population in energy communities,2016.5767298954088,10.015303207889854,0.006855358678862947,0.9962874305102476,0.9959598508493871,0.9962874305102476,0.0,1.0
3852,Original data,All,1.1,The Netherlands,The Netherlands - organic food - Organic retail sales share [%] - %,The Netherlands - active mobility - % trips by walking and biking - market share,organic food,active mobility,%,market share,Organic retail sales share [%],% trips by walking and biking,2158.215105722418,70.70114610323996,12823.673027807925,0.12055533170136612,0.042957272733839647,0.0,6.2999999999995,1.977627301506182
3853,Original data,All,1.1,The Netherlands,The Netherlands - organic food - Organic retail sales share [%] - %,Amsterdam - active mobility - % trips by walking and biking EXCLUDING 1930 - market share,organic food,active mobility,%,market share,Organic retail sales share [%],% trips by walking and biking EXCLUDING 1930,2018.6693384170783,36.789281291031934,7.813138706118612,0.7741525983683847,0.7470509101725908,0.5768463046558042,43.399999999999636,0.1257650988534802
3854,Original data,All,1.1,The Netherlands,The Netherlands - organic food - Organic retail sales share [%] - %,The Netherlands - e-bikes - e-bikes as a share of bikes sold - market share,organic food,e-bikes,%,market share,Organic retail sales share [%],e-bikes as a share of bikes sold,2228.7671807878455,104.1320933041233,18519.551075654173,0.10663404078672423,-0.0005698743188689015,0.15020973238359128,-6.800000000000409,0.7273154432494519
3855,Original data,All,1.1,The Netherlands,The Netherlands - organic food - Organic retail sales share [%] - %,The Netherlands - eating less meat - % red in total meat consumption - % kg/yr,organic food,eating less meat,%,% kg/yr,Organic retail sales share [%],% red in total meat consumption,2141.8075372448047,62.25493303061868,13414.411562877662,0.35201279458043844,0.3242419143481715,0.0,2518.6399999999994,
3856,Original data,All,1.1,The Netherlands,The Netherlands - organic food - Organic retail sales share [%] - %,The Netherlands - energy communities - share of population in energy communities - market share,organic food,energy communities,%,market share,Organic retail sales share [%],share of population in energy communities,2011.8326214837666,26.224419509278768,2.645623585412862,0.24352191942047752,0.20225947866159455,0.0,-3.900000000001228,0.317501196526654
3857,Original data,All,1.1,The Netherlands,The Netherlands - organic food - Organic retail sales share [%] - %,The Netherlands - organic food - Organic retail sales share [%] - %,organic food,organic food,%,%,Organic retail sales share [%],Organic retail sales share [%],2012.6607349382775,31.545518766732283,5.862980270652881,0.8420810503060384,0.8142130003600452,0.8420810503060384,0.0,1.0
3858,Original data,All,1.1,The Netherlands,"The Netherlands - reduced alcohol consumption - Recorded per capita (more than 15 years old) alcohol consumption (in litres of pure alcohol), include all beverage types: beers, spirits, wine, other alcoholic beverage, and all types - Per capita alcohol consumption (15+)",The Netherlands - active mobility - % trips by walking and biking - market share,reduced alcohol consumption,active mobility,Per capita alcohol consumption (15+),market share,"Recorded per capita (more than 15 years old) alcohol consumption (in litres of pure alcohol), include all beverage types: beers, spirits, wine, other alcoholic beverage, and all types",% trips by walking and biking,2015.0128101018445,-33.85792306655891,9.143126726865006,0.26041878496927884,0.23083553636805,0.0,-42.40000000000009,4.025098306432148
3859,Original data,All,1.1,The Netherlands,"The Netherlands - reduced alcohol consumption - Recorded per capita (more than 15 years old) alcohol consumption (in litres of pure alcohol), include all beverage types: beers, spirits, wine, other alcoholic beverage, and all types - Per capita alcohol consumption (15+)",Amsterdam - active mobility - % trips by walking and biking EXCLUDING 1930 - market share,reduced alcohol consumption,active mobility,Per capita alcohol consumption (15+),market share,"Recorded per capita (more than 15 years old) alcohol consumption (in litres of pure alcohol), include all beverage types: beers, spirits, wine, other alcoholic beverage, and all types",% trips by walking and biking EXCLUDING 1930,1963.0295474028496,15.450227529898616,8.5427754249289,0.12256794745616006,0.082684672340531,0.31639574571037365,-5.2999999999999545,0.2559718335289337
3860,Original data,All,1.1,The Netherlands,"The Netherlands - reduced alcohol consumption - Recorded per capita (more than 15 years old) alcohol consumption (in litres of pure alcohol), include all beverage types: beers, spirits, wine, other alcoholic beverage, and all types - Per capita alcohol consumption (15+)",The Netherlands - e-bikes - e-bikes as a share of bikes sold - market share,reduced alcohol consumption,e-bikes,Per capita alcohol consumption (15+),market share,"Recorded per capita (more than 15 years old) alcohol consumption (in litres of pure alcohol), include all beverage types: beers, spirits, wine, other alcoholic beverage, and all types",e-bikes as a share of bikes sold,1962.6568256031069,12.731898836749231,8.438446993110873,0.10318099245194623,0.06241649210885292,0.27395492010461825,-55.5,1.480317427169259
3861,Original data,All,1.1,The Netherlands,"The Netherlands - reduced alcohol consumption - Recorded per capita (more than 15 years old) alcohol consumption (in litres of pure alcohol), include all beverage types: beers, spirits, wine, other alcoholic beverage, and all types - Per capita alcohol consumption (15+)",The Netherlands - eating less meat - % red in total meat consumption - % kg/yr,reduced alcohol consumption,eating less meat,Per capita alcohol consumption (15+),% kg/yr,"Recorded per capita (more than 15 years old) alcohol consumption (in litres of pure alcohol), include all beverage types: beers, spirits, wine, other alcoholic beverage, and all types",% red in total meat consumption,1959.7402773264998,4.627325786427863,5.0270669044722025,0.0006803053599023778,-0.02632833503577592,0.0,2469.94,
3862,Original data,All,1.1,The Netherlands,"The Netherlands - reduced alcohol consumption - Recorded per capita (more than 15 years old) alcohol consumption (in litres of pure alcohol), include all beverage types: beers, spirits, wine, other alcoholic beverage, and all types - Per capita alcohol consumption (15+)",The Netherlands - energy communities - share of population in energy communities - market share,reduced alcohol consumption,energy communities,Per capita alcohol consumption (15+),market share,"Recorded per capita (more than 15 years old) alcohol consumption (in litres of pure alcohol), include all beverage types: beers, spirits, wine, other alcoholic beverage, and all types",share of population in energy communities,1960.029253180006,6.5954532500023975,5.6478533157217665,0.0025618112452187036,-0.028608132153368215,0.0,-52.60000000000082,0.6462155571256007
3863,Original data,All,1.1,The Netherlands,"The Netherlands - reduced alcohol consumption - Recorded per capita (more than 15 years old) alcohol consumption (in litres of pure alcohol), include all beverage types: beers, spirits, wine, other alcoholic beverage, and all types - Per capita alcohol consumption (15+)",The Netherlands - organic food - Organic retail sales share [%] - %,reduced alcohol consumption,organic food,Per capita alcohol consumption (15+),%,"Recorded per capita (more than 15 years old) alcohol consumption (in litres of pure alcohol), include all beverage types: beers, spirits, wine, other alcoholic beverage, and all types",Organic retail sales share [%],1961.9139542088064,11.35749083676198,7.714594261103941,0.05730345322885888,0.021504850186916835,0.0,-48.69999999999959,2.035316919101284
3864,Original data,All,1.1,The Netherlands,"The Netherlands - reduced alcohol consumption - Recorded per capita (more than 15 years old) alcohol consumption (in litres of pure alcohol), include all beverage types: beers, spirits, wine, other alcoholic beverage, and all types - Per capita alcohol consumption (15+)","The Netherlands - reduced alcohol consumption - Recorded per capita (more than 15 years old) alcohol consumption (in litres of pure alcohol), include all beverage types: beers, spirits, wine, other alcoholic beverage, and all types - Per capita alcohol consumption (15+)",reduced alcohol consumption,reduced alcohol consumption,Per capita alcohol consumption (15+),Per capita alcohol consumption (15+),"Recorded per capita (more than 15 years old) alcohol consumption (in litres of pure alcohol), include all beverage types: beers, spirits, wine, other alcoholic beverage, and all types","Recorded per capita (more than 15 years old) alcohol consumption (in litres of pure alcohol), include all beverage types: beers, spirits, wine, other alcoholic beverage, and all types",1963.9680434573952,15.49920967361911,9.744593153902537,0.7070460812478281,0.6918932923468537,0.7070460812478281,0.0,1.0
3865,Original data,All,1.1,The Netherlands,The Netherlands - smartwatches - % penetration rate smartwatches - % penetration rate,The Netherlands - active mobility - % trips by walking and biking - market share,smartwatches,active mobility,% penetration rate,market share,% penetration rate smartwatches,% trips by walking and biking,2029.783279934589,-39.28390167851324,0.12816396256843857,0.046548527391192085,-0.08346758251000908,0.0,16.09999999999991,10.470167369362462
3866,Original data,All,1.1,The Netherlands,The Netherlands - smartwatches - % penetration rate smartwatches - % penetration rate,Amsterdam - active mobility - % trips by walking and biking EXCLUDING 1930 - market share,smartwatches,active mobility,% penetration rate,market share,% penetration rate smartwatches,% trips by walking and biking EXCLUDING 1930,1968.3603630491064,3.6231505294465116e-05,0.24640588242511388,0.0,-0.23076923076923084,0.0,53.200000000000045,0.6658391261171799
3867,Original data,All,1.1,The Netherlands,The Netherlands - smartwatches - % penetration rate smartwatches - % penetration rate,The Netherlands - e-bikes - e-bikes as a share of bikes sold - market share,smartwatches,e-bikes,% penetration rate,market share,% penetration rate smartwatches,e-bikes as a share of bikes sold,2008.3353040801703,0.8164563327225308,0.21522941151903707,0.0,-0.23076923076923084,0.0,3.0,3.85063172183356
3868,Original data,All,1.1,The Netherlands,The Netherlands - smartwatches - % penetration rate smartwatches - % penetration rate,The Netherlands - eating less meat - % red in total meat consumption - % kg/yr,smartwatches,eating less meat,% penetration rate,% kg/yr,% penetration rate smartwatches,% red in total meat consumption,2018.2778673306696,-104.51901850841337,0.39359173835741335,0.32117167012230496,0.2860598599562173,0.0,2528.44,
3869,Original data,All,1.1,The Netherlands,The Netherlands - smartwatches - % penetration rate smartwatches - % penetration rate,The Netherlands - energy communities - share of population in energy communities - market share,smartwatches,energy communities,% penetration rate,market share,% penetration rate smartwatches,share of population in energy communities,2024.791409158835,6.806114496867616,0.1958593644935598,0.8376927202497613,0.8263689565462562,0.16616131632106737,5.8999999999991815,1.6809490165690453
3870,Original data,All,1.1,The Netherlands,The Netherlands - smartwatches - % penetration rate smartwatches - % penetration rate,The Netherlands - organic food - Organic retail sales share [%] - %,smartwatches,organic food,% penetration rate,%,% penetration rate smartwatches,Organic retail sales share [%],2001.6038286297287,10.079061647116196,2.1434854299034405,0.019071062832415775,-0.09411304530230558,0.0,9.80000000000041,5.294307659177375
