Code,Innovation Name,Spatial Scale,Indicator Number,Indicator Name,Description,Metric,Category,n_data_points,n_non_zero_data_points,slope_log,slope_exp,slope_lin,log_t0,log_Dt,log_K,exp_a,exp_c,lin_intercept,log_r2,log_r2adj,log_rmse,log_mae,exp_r2,exp_r2adj,exp_rmse,exp_mae,lin_r2,lin_r2adj,lin_rmse,lin_mae, GN scoring ,GN comments,CW scoring,page,Code,Criterion,Counts,
act_net_1.1Ado_d162_m94,Active mobility,The Netherlands,1.1,Adoption over time,Passenger kilometres travelled by bike,Billion p.km,b7,17,17,0.17815,0.013226,0.21626,1998.6,24.668,17.492,6.6659,1947.9,-419.53,0.71531,0.64961,0.77647,0.6553,0.60366,0.54704,0.91615,0.789,0.62081,0.56664,0.89611,0.75497, 1 ,,,11,,,,
act_net_1.1Ado_d163_m94,Active mobility,The Netherlands,1.1,Adoption over time,Passenger kilometres travelled by foot,Billion p.km,b7,17,17,0.046231,0.04623,0.21548,2245.9,95.054,2.20E+05,7.9825,2024.7,-428.98,0.82968,0.79038,0.52885,0.38906,0.82968,0.80535,0.52885,0.38906,0.7949,0.7656,0.58034,0.44108, 2 ,,,12,,,,
act_net_2.3Rel_d77_m137,Active mobility,The Netherlands,2.3,Relative Advantage (Co-benefits),Development of cycling distance per person,km,b7,5,5,-0.088744,-0.040613,-34.076,2018.4,-49.518,1569.1,1296,2005.7,69564,0.92374,0.69495,34.712,30.235,0.92148,0.84296,35.222,30.311,0.92308,0.84617,34.861,30.344, 2 ,,,13,,,,
act_net_2.9Int_d134_m138,Active mobility,The Netherlands,2.9,Interdependence with hardware,Number of bicycles,million,b7,4,4,,0.01683,0.322,,,,5.3225,1930.4,-626.84,,,,,0.92236,0.76708,0.52808,0.5059,0.90207,0.70621,0.59309,0.575, 4 ,,"ok, use logfit",14,,,,
cli_ban_1.1Ado_d71_m18,Climate protest,Bangladesh,1.1,Adoption over Time,Count of participants at protest events related to climate,# people (estimated),s3,13,3,-0.20146,0.089972,18.132,2434.1,-21.813,111.54,0.023617,1923.1,-36460,0,-0.33333,317.53,173.37,0.026697,-0.16796,313.27,169.47,0.045649,-0.14522,310.2,161.88, 4 ,,convert to cum,15,,,,
cli_ban_1.1Ado_d72_m20,Climate protest,Bangladesh,1.1,Adoption over Time,Count of protest events related to climate,# protest events,s3,13,6,-0.7979,0.12799,1.8187,2078.2,-5.5075,9.3846,9.1992,2017.2,-3658.9,-3.26E-14,-0.33333,16.914,11.763,0.11556,-0.061327,15.907,10.359,0.16186,-0.0057636,15.485,9.6932, 4 ,,convert to cum,16,,,,
cli_ger_1.1Ado_d71_m18,Climate protest,Germany,1.1,Adoption over Time,Count of participants at protest events related to climate,# people (estimated),s3,13,4,40.123,0.20014,45.856,2020,0.10953,570.83,0.00038393,1953,-92329,0.36992,0.1599,322.67,146.14,0.14896,-0.021243,375,229.31,0.17816,0.013788,368.51,227.02, 4 ,,convert to cum,17,,,,
cli_ger_1.1Ado_d72_m20,Climate protest,Germany,1.1,Adoption over Time,Count of protest events related to climate,# protest events,s3,13,4,0.55459,0.51177,54.467,2026,7.9238,5215.3,3.61E-08,1976.3,-1.10E+05,0.92641,0.90188,71.314,50.781,0.92613,0.91136,71.446,51.438,0.601,0.5212,166.05,124.63, 1 ,,,18,,,,
cli_glo_1.1Ado_d71_m18,Climate protest,Global,1.1,Adoption over Time,Count of participants at protest events related to climate,# people (estimated),s3,13,6,781.4,0.22821,23497,2020,0.0056238,2.82E+05,1.18E-10,1868.3,-4.73E+07,0.53678,0.38238,1.08E+05,52394,0.28074,0.13688,1.35E+05,80313,0.30582,0.16698,1.32E+05,82335, 4 ,,convert to cum,19,,,,
cli_glo_1.1Ado_d72_m20,Climate protest,Global,1.1,Adoption over Time,Count of protest events related to climate,# protest events,s3,13,11,2.5665,0.32388,286.75,2019.6,1.7123,3020.5,1.48E-08,1942,-5.77E+05,0.98971,0.98629,130.03,65.57,0.8161,0.77932,549.83,425.8,0.70027,0.64032,701.95,606.4, 1 ,,,20,,,,
cli_ind_1.1Ado_d71_m18,Climate protest,India,1.1,Adoption over Time,Count of participants at protest events related to climate,# people (estimated),s3,13,1,-0.01867,0.075956,3.6184,6240.2,-235.38,25.329,1.0927,1975.7,-7273.1,-1.75E-13,-0.33333,87.742,46.761,0.013221,-0.18413,87.16,47.056,0.02381,-0.17143,86.692,45.648, 4 ,,convert to cum,21,,,,
cli_ind_1.1Ado_d72_m20,Climate protest,India,1.1,Adoption over Time,Count of protest events related to climate,# protest events,s3,13,7,-0.13545,0.11054,1.5165,2605,-32.443,8.3846,10.015,2018.9,-3050.4,-1.11E-15,-0.33333,20.923,11.42,0.047804,-0.14264,20.417,11.21,0.073545,-0.11175,20.139,10.661, 4 ,,convert to cum,22,,,,
cli_swe_1.1Ado_d71_m18,Climate protest,Sweden,1.1,Adoption over Time,Count of participants at protest events related to climate,# people (estimated),s3,13,4,102.22,0.39541,9.4124,2021,0.042991,140.35,0.007599,1998.3,-18958,0.7728,0.69706,27.045,11.823,0.52763,0.43316,38.996,22.563,0.38528,0.26234,44.485,30.453, 2 ,,,23,,,,
cli_swe_1.1Ado_d72_m20,Climate protest,Sweden,1.1,Adoption over Time,Count of protest events related to climate,# protest events,s3,13,4,12.04,0.32417,56.709,2019.8,0.36499,582.33,4.77E-06,1964.9,-1.14E+05,0.99913,0.99883,7.7889,3.3362,0.75556,0.70668,130.26,105.59,0.64864,0.57837,156.17,135.72, 2 ,,,24,,,,
cli_uki_1.1Ado_d71_m18,Climate protest,United Kingdom,1.1,Adoption over Time,Count of participants at protest events related to climate,# people (estimated),s3,13,4,47.024,0.30546,7.7839,2020,0.093451,90.487,0.038129,1997.4,-15676,0.76956,0.69274,20.826,8.9839,0.50406,0.40488,30.552,18.916,0.45069,0.34083,32.154,22.168, 2 ,,,25,,,,
cli_uki_1.1Ado_d72_m20,Climate protest,United Kingdom,1.1,Adoption over Time,Count of protest events related to climate,# protest events,s3,13,4,638.31,0.24732,17.473,2019.1,0.0068845,189.25,0.00079707,1972.8,-35184,0.87997,0.83996,32.259,14.538,0.47821,0.37385,67.26,53.355,0.49297,0.39156,66.302,56.159, 4 ,,convert to cum,26,,,,
cli_usa_1.1Ado_d71_m18,Climate protest,United States,1.1,Adoption over Time,Count of participants at protest events related to climate,# people (estimated),s3,13,4,65.309,0.20397,16.902,2019.2,0.067287,201.62,0.0021963,1967.6,-34030,0.5588,0.41173,82.686,39.373,0.22131,0.065567,109.85,67.084,0.2581,0.10972,107.22,66.197, 4 ,,convert to cum,27,,,,
cli_usa_1.1Ado_d72_m20,Climate protest,United States,1.1,Adoption over Time,Count of protest events related to climate,# protest events,s3,13,4,56.734,0.32844,23.055,2020,0.077457,256,3.17E-05,1974.2,-46432,0.97725,0.96966,16.59,7.2315,0.72468,0.66962,57.707,43.032,0.61523,0.53827,68.22,54.259, 1 ,,,28,,,,
coh_den_1.1Ado_d135_m7,Co-housing,Denmark,1.1,Adoption over time,Number of cohousing communities,# communities,b11,10,10,0.22051,0.033741,2.6225,1984.9,19.929,101.42,1.6723,1886.7,-5160.5,0.98488,0.97731,4.8001,4.2608,0.78505,0.72364,18.096,15.686,0.91844,0.89514,11.147,9.6045, 1 ,,,29,,,,
coh_den_1.1Ado_d139_m22,Co-housing,Denmark,1.1,Adoption over time,Number of housing units in cohousing communities,# residents,b11,9,9,0.21247,0.033852,58.453,1985.3,20.683,2285.2,0.12287,1718.9,-1.15E+05,0.98448,0.97517,109.66,101.47,0.77105,0.69473,421.16,375.09,0.91189,0.88252,261.27,233.12, 1 ,,,30,,,,
coh_ger_1.1Ado_d142_m19,Co-housing,Germany,1.1,Adoption over time,Number of projects,# projects,b11,4,4,0.20463,0.079755,9.41,1994.8,21.475,316.23,0.013744,1880.2,-18604,0.99968,#NAME?,1.9287,1.3164,0.96104,0.88313,21.387,19.667,0.94267,0.828,25.946,23.25, 1 ,,,31,,,,
coh_usa_1.1Ado_d143_m22,Co-housing,United States,1.1,Adoption over time,Number of residents living in cohousing communities,# residents,b11,8,8,0.47637,0.21446,213.23,1996.4,9.2249,3414.8,2.14E-05,1912.4,-4.24E+05,0.99947,0.99907,23.805,21.643,0.96347,0.94886,197.86,179.86,0.89095,0.84734,341.85,309.88, 1 ,,,32,,,,
coh_vau_1.1Ado_d138_m9,Co-housing,Canton de Vaud (Switzerland),1.1,Adoption over time,Number of housing cooperatives in Canton de Vaud (Switzerland),# cooperatives,b11,12,12,0.045173,0.028481,1.2003,2000.2,97.28,198.97,4.7043,1895.6,-2308.5,0.98344,0.97722,5.6478,4.5254,0.97105,0.96461,7.4671,6.7865,0.89851,0.87596,13.98,10.883, 1 ,,,33,,,,
cro_ber_1.1Ado_d58_m123,car ownership,Berlin,1.1,Adaption over time,"Berlin Car density: 
2008-2024","cars per 1,000 inhabitants",b5,17,17,0.4619,0.0019583,0.65735,2002,9.5138,334.89,79.734,1288.1,-993.56,0.57391,0.47558,4.627,3.8783,0.20393,0.090208,6.3244,5.2346,0.2064,0.093033,6.3146,5.2253, 2 ,,,34,,,,
cro_ham_1.1Ado_d109_m123,car ownership,Hamburg,1.1,Adaption over time,Hamburg Car density 2008-2024,"cars per 1,000 inhabitants",b5,17,17,0.21243,0.0046092,1.9703,1996.9,20.687,434.74,40.81,1508.7,-3549.1,0.84235,0.80597,4.6163,3.8976,0.68223,0.63684,6.554,5.7013,0.68928,0.64489,6.4809,5.5996, 2 ,,,35,,,,
cro_hei_1.1Ado_d110_m124,car ownership,Heidelberg,1.1,Adaption over time,Heidelberg Car density 1993-2024,cars per 1000 inhabitants,b5,30,30,-0.0063909,-0.0063893,-2.5196,710.32,-687.61,1.60E+06,706.32,1919.5,5461.3,0.71221,0.679,14.224,12.267,0.71221,0.69089,14.224,12.267,0.70349,0.68152,14.438,12.341, 1 ,,,36,,,,
crs_ger_1.1Ado_d228_m12,car sharing,Germany,1.1,Adoption over time,registered drivers,# drivers,m9,28,28,0.21557,0.19421,1.53E+05,2030.2,20.385,2.55E+07,8.87E-11,1825,-3.07E+08,0.98588,0.98412,1.75E+05,1.25E+05,0.98533,0.98416,1.78E+05,1.32E+05,0.70735,0.68394,7.97E+05,6.30E+05, 1 ,,,37,,,,
crs_ger_2.5Var_d211_m12,car sharing,Germany,2.5,Choice availability,free-floating cars - registered drivers,# drivers,m9,13,13,0.21399,0.21398,3.24E+05,2072.8,20.536,1.50E+11,5.68E-12,1831.5,-6.52E+08,0.96965,0.95953,2.22E+05,1.89E+05,0.96965,0.96358,2.22E+05,1.89E+05,0.90616,0.88739,3.90E+05,2.88E+05, 1 ,,,38,,,,
crs_ger_2.5Var_d212_m26,car sharing,Germany,2.5,Choice availability,free-floating cars - registered vehicles,# vehicles,m9,13,13,0.1774,0.1774,1598.6,2091.5,24.771,3.82E+09,1.55E-07,1878.8,-3.22E+06,0.95201,0.93601,1424.3,1309.1,0.95201,0.94241,1424.2,1309.1,0.84641,0.81569,2547.9,1923.9, 1 ,,,39,,,,
crs_ger_2.5Var_d213_m90,car sharing,Germany,2.5,Choice availability,free-floating cars as % of all shared cars,% vehicles,m9,28,13,2.3639,0.11309,0.025934,2012.2,1.859,0.47376,2.3684,2034.8,-51.933,0.96928,0.96544,0.040667,0.023258,0.80496,0.78935,0.10247,0.084869,0.81521,0.80043,0.099738,0.080944, 1 ,,,40,,,,
crs_ger_2.5Var_d232_m12,car sharing,Germany,2.5,Choice availability,station-based or combined - registered drivers,# drivers,m9,28,28,0.1802,0.12298,34099,2022.1,24.387,1.68E+06,1.27E-06,1800.9,-6.82E+07,0.99698,0.9966,16241,11892,0.98846,0.98754,31729,26770,0.86946,0.85901,1.07E+05,94183, 1 ,,,41,,,,
crs_ger_2.5Var_d233_m26,car sharing,Germany,2.5,Choice availability,station-based or combined - registered vehicles,# vehicles,m9,28,28,0.13982,0.092324,574.33,2021.1,31.428,27468,0.00037292,1832.6,-1.15E+06,0.99519,0.99459,334.41,282.16,0.98509,0.9839,588.97,511.95,0.92514,0.91915,1319.7,1138.2, 1 ,,,42,,,,
crs_ger_2.9Int_d231_m26,car sharing,Germany,2.9,Interdependence with Hardware,shared vehicles,# vehicles,m9,28,28,0.14721,0.13432,1286,2034.2,29.852,2.23E+05,8.11E-06,1857.6,-2.57E+06,0.98412,0.98214,1444.1,1158.1,0.9837,0.98239,1463.4,1165.7,0.82147,0.80718,4842.6,3952.2, 1 ,,,43,,,,
crs_ger_4.2Kme_d1_m130,car sharing,Germany,4.2,Knowledge Flows (mass media),"""car sharing"" mention in books",index (2022=100),m9,26,26,0.20878,0.12447,4.1051,2018.2,21.048,155.13,0.18231,1970.2,-8213.7,0.97131,0.9674,5.6147,5.1835,0.95503,0.95112,7.03,5.9975,0.86257,0.85062,12.29,10.506, 1 ,,,44,,,,
crs_glo_3.5Mar_d127_m8,car sharing,Global,3.5,Market Formation,NewStartups,# companies,m9,45,35,0.60417,0.053732,0.42714,2008.7,7.2735,16.05,9.1395,2012.2,-849,0.62337,0.59581,5.1127,3.081,0.38354,0.35418,6.5411,4.5711,0.44339,0.41688,6.2154,4.4379, 4 ,interesting,convert to cum.,45,,,,
crs_glo_3.5Mar_d166_m11,car sharing,Global,3.5,Market Formation,PrivateEquityDeals,# deals,m9,45,19,0.81262,0.099582,0.91647,2013.6,5.4077,38.125,6.9255,2004.9,-1825.3,0.90602,0.89914,4.8064,2.169,0.71392,0.70029,8.3858,5.9143,0.57633,0.55616,10.205,8.5432, 4 ,,convert to cum.,46,crs_glo_3.5Mar_d166_m11,,,
crs_glo_3.5Mar_d170_m28,car sharing,Global,3.5,Market Formation,PrivateEquityInvestment,$ million,m9,45,18,25.419,0.078857,72.166,2014,0.17288,3339.9,0.005882,1856.7,-1.44E+05,0.36692,0.3206,1814,722.6,0.17664,0.13744,2068.8,1081.4,0.16899,0.12942,2078.4,1188.3, 4 ,,convert to cum.,47,crs_glo_3.5Mar_d170_m28,,,
crs_glo_3.5Mar_d196_m28,car sharing,Global,3.5,Market Formation,TotalFundraisingAmount,$ million,m9,45,19,,0.075492,154.29,,,,0.01763,1853.9,-3.07E+05,,,,,0.28325,0.24912,3210.2,2079.3,0.27925,0.24493,3219.2,2256.2, 4 ,,convert to cum.,48,crs_glo_3.5Mar_d196_m28,,,
crs_glo_3.5Mar_d200_m11,car sharing,Global,3.5,Market Formation,TotalFundraisingDeals,# deals,m9,45,24,0.68118,0.10081,1.381,2013.6,6.4513,57.915,1.6773,1986.9,-2750.4,0.92211,0.91641,6.4557,3.1016,0.75337,0.74162,11.487,7.9465,0.60123,0.58224,14.607,12.386, 2 ,,,49,crs_glo_3.5Mar_d200_m11,,,
crs_glo_3.5Mar_d73_m125,car sharing,Global,3.5,Market Formation,CumulativeStartups,cum. # companies,m9,45,43,0.25922,0.10787,6.0866,2015.7,16.952,324.98,0.024613,1935.7,-12116,0.99432,0.99391,6.9906,5.8813,0.95891,0.95695,18.804,13.624,0.72618,0.71314,48.54,42.918, 1 ,cum,,50,crs_glo_3.5Mar_d73_m125,,,
crz_fra_1.1Ado_d57_m133,mobesity,France,1.1,Adoption over Time,Average weight of all new sales / registrations (kg),kg,b3,22,22,0.0031375,0.0031245,4.1338,3760.2,1400.6,3.21E+05,120.58,1244.2,-6989,0.49631,0.41237,26.451,24.065,0.49632,0.4433,26.45,24.065,0.49518,0.44204,26.48,24.064, 1 ,,,51,crz_fra_1.1Ado_d57_m133,,,
crz_ger_1.1Ado_d52_m143,mobesity,Germany,1.1,Adoption over Time,Average length of all new car sales / registrations (kg),mm,b3,20,20,,0.002317,10.033,,,,311,873.82,-15840,,,,,0.8758,0.86119,21.789,12.5,0.87562,0.86098,21.805,12.46, 1 ,,,52,crz_ger_1.1Ado_d52_m143,,,
crz_ger_1.1Ado_d56_m133,mobesity,Germany,1.1,Adoption over Time,Average weight of all new car sales / registrations (kg),kg,b3,22,22,,0.0057937,8.4444,,,,58.198,1455.1,-15523,,,,,0.7495,0.72314,31.03,25.366,0.74668,0.72002,31.204,25.419, 1 ,,,53,crz_ger_1.1Ado_d56_m133,,,
dow_swi_1.1Ado_d187_m86,Downsizing,Switzerland,1.1,Adoption over time,Share of people living in a small dwelling with high wellbeing,% people,b10,5,5,0.20989,0.051925,0.266,2025.2,20.937,7.5455,-5.9005,7540.8,-535.4,0.98713,0.94853,0.04311,0.036973,-18.849,-38.697,1.6932,1.65,0.97973,0.95946,0.054111,0.0416, 1 ,,,54,dow_swi_1.1Ado_d187_m86,,,
dri_sto_1.1Ado_d31_m71,drivers license,Stockholm,1.1,Adoption over Time,% of population holding a drivers licence,% of population,b9,5,5,-0.079347,-0.00010085,-5.34E-05,2296.2,-55.383,0.53399,0.56004,1540.6,0.6414,-3.00E-09,-3,0.0061737,0.0055959,0.0037694,-0.99246,0.006162,0.0055958,0.0037354,-0.99253,0.0061621,0.0055959, 1 ,,,55,dri_sto_1.1Ado_d31_m71,,,
dri_sto_1.1Ado_d6_m46,drivers license,Stockholm,1.1,Adoption over Time,% of 18-19yr age group holding a drivers licence,% of 18-19yr olds,b9,5,5,0.018264,0.018264,0.004499,2570.8,240.6,6854.1,2.24E-08,1122.9,-8.7965,0.76953,0.078113,0.017874,0.016363,0.76953,0.53906,0.017874,0.016363,0.73006,0.46013,0.019344,0.018109, 1 ,,,56,dri_sto_1.1Ado_d6_m46,,,
dri_sto_1.1Ado_d7_m44,drivers license,Stockholm,1.1,Adoption over Time,"% of 18-19yr age group holding a drivers licence, by gender",% of 18-19yr old females,b9,5,5,-0.92598,-0.063561,-0.68741,1996.3,-4.7457,8441.9,-1523.2,-1.55E+05,1387.4,0.99927,0.99708,0.18687,0.14418,-0.28305,-1.5661,7.8288,3.6771,0.49459,-0.010815,4.9136,4.1715, 3 ,zeros?,"don't use, it's a cohort variable not a time trend",57,dri_sto_1.1Ado_d7_m44,,,
dri_sto_1.1Ado_d7_m45,drivers license,Stockholm,1.1,Adoption over Time,"% of 18-19yr age group holding a drivers licence, by gender",% of 18-19yr old males,b9,5,5,,-0.94048,-1.1887,,,,10.297,2004.1,2399.1,,,,,0.99956,0.99912,0.25006,0.19356,0.49749,-0.0050229,8.4476,7.1755, 3 ,zeros?,"don't use, it's a cohort variable not a time trend",58,dri_sto_1.1Ado_d7_m45,,,
dri_sto_1.1Ado_d8_m47,drivers license,Stockholm,1.1,Adoption over Time,% of 18-19yr age group in 2003 holding a drivers licence,% of 18-19yr olds in 2003 cohort,b9,5,5,4.7178,0.0020636,0.011816,2003,0.93147,0.50612,1555.1,1.57E+05,-23.333,0.91253,0.65013,0.033275,0.024933,-16.167,-33.333,0.46616,0.45238,0.55148,0.10297,0.075349,0.063955, 2 ,,,59,dri_sto_1.1Ado_d8_m47,,,
dri_swe_1.1Ado_d31_m71,drivers license,Sweden,1.1,Adoption over Time,% of population holding a drivers licence,% of population,b9,3,3,-0.0079247,0.0012141,0.00096677,4979.2,-554.52,0.79333,0.17332,746.87,-1.1399,-5.53E-10,3,0.0094281,0.0088889,0.77033,#NAME?,0.0045183,0.0042591,0.77341,#NAME?,0.0044879,0.0042296, 1 ,,,60,dri_swe_1.1Ado_d31_m71,,,
dri_swe_1.1Ado_d6_m43,drivers license,Sweden,1.1,Adoption over Time,% of 18-19yr age group holding a drivers licence,% of 18-19yr age group,b9,18,18,-0.022396,-0.022396,-0.0092404,1502.9,-196.21,29334,1.3617,1948.4,18.918,0.74424,0.68943,0.045534,0.036587,0.74424,0.71014,0.045534,0.036587,0.67556,0.6323,0.051285,0.039707, 1 ,,,61,dri_swe_1.1Ado_d6_m43,,,
dri_usa_1.1Ado_d30_m71,drivers license,US,1.1,Adoption over time,% of population (residents) holding a drivers licence,% of population,b9,63,63,0.080086,0.0012346,0.0031067,1951.4,54.872,0.69372,1555.2,1.57E+05,-5.5491,0.96897,0.96739,0.011371,0.0095098,-97.205,-100.48,0.63968,0.63642,0.76595,0.75815,0.031229,0.027826, 1 ,,,62,dri_usa_1.1Ado_d30_m71,,,
dri_usa_2.2Rel_d105_m129,drivers license,US,2.2,Relative Advantage (profitability),Fuel efficiency (VMT per gallon),index (1989=1),b9,63,63,0.028013,0.0077988,0.0076289,1958.4,156.87,1.3665,6.5383,2238.1,-14.228,0.90882,0.90419,0.044219,0.03492,0.88224,0.87831,0.050254,0.041248,0.8974,0.89398,0.046907,0.038396, 1 ,,,63,dri_usa_2.2Rel_d105_m129,,,
dri_usa_2.2Rel_d51_m122,drivers license,US,2.2,Relative Advantage (profitability),Average cost of mile traveled by bus / car,bus/car cost per mile traveled,b9,17,17,0.22464,0.010593,0.0075206,1998.5,19.562,0.72714,0.18661,1891.1,-14.459,0.54721,0.44272,0.044062,0.029971,0.37192,0.28219,0.051895,0.034375,0.38961,0.30241,0.051159,0.033317, 1 ,,,64,dri_usa_2.2Rel_d51_m122,,,
dri_usa_2.2Rel_d54_m27,drivers license,US,2.2,Relative Advantage (profitability),Average total cost of mile traveled by bus,$ (constant 2022),b9,17,17,0.10122,0.0021684,0.01276,2009.1,43.413,0.54245,1555,1.58E+05,-25.364,0.99091,0.98882,0.0066512,0.0055446,-20.421,-23.481,0.32292,0.31529,0.98784,0.98611,0.0076924,0.0055572, 1 ,,,65,dri_usa_2.2Rel_d54_m27,,,
dri_usa_2.2Rel_d55_m27,drivers license,US,2.2,Relative Advantage (profitability),Average total cost of mile traveled by car,$ (constant 2022),b9,21,21,0.033059,0.0023437,0.014741,2333.1,132.93,18228,1555,1.57E+05,-29.201,0.89445,0.87582,0.031015,0.02234,-22.911,-25.568,0.46681,0.45694,0.87423,0.86025,0.033856,0.021976, 1 ,,,66,dri_usa_2.2Rel_d55_m27,,,
dri_usa_2.3Rel_d204_m68,drivers license,US,2.3,Relative Advantage (Co-Benefits),Traffic death rates,% of licensed drivers,b9,17,17,-0.019402,,-4.66E-06,1760.3,-226.5,0.023617,,,0.0095505,0.91967,0.90113,1.05E-05,8.94E-06,,,,,0.88995,0.87422,1.23E-05,1.02E-05, 1 ,,,67,dri_usa_2.3Rel_d204_m68,,,
dri_usa_2.9Int_d125_m129,drivers license,US,2.9,Inter-dependence with Hardware,Motor fuel consumption,index (1989=1),b9,63,63,0.058448,0.013664,0.014717,1971.8,75.186,1.4247,0.92135,1986.2,-28.289,0.96314,0.96127,0.05337,0.045064,0.87233,0.86807,0.099333,0.078457,0.92667,0.92423,0.07528,0.059045, 1 ,,,68,dri_usa_2.9Int_d125_m129,,,
dri_usa_2.9Int_d194_m142,drivers license,US,2.9,Inter-dependence with Hardware,Total number of vehicles registered,million vehicles,b9,63,63,0.050866,0.017431,3.3895,1981.5,86.393,309.93,6.1063,1797.8,-6563,0.99369,0.99337,4.9237,4.3744,0.94654,0.94476,14.329,12.851,0.98911,0.98875,6.4659,5.7872, 1 ,,,69,dri_usa_2.9Int_d194_m142,,,
dri_usa_3.2Adc_d11_m49,drivers license,US,3.2,Adopter characteristics,% of age cohort 18 yrs in 1978 holding a drivers licence,% of 18yr olds in 1978,b9,7,7,-0.0098407,0.0011129,0.0021156,5227.3,-446.56,0.91456,1555.5,1.57E+05,-3.3266,-1.03E-13,-1,0.04806,0.033588,-362.12,-543.68,0.91582,0.91456,0.49423,0.24135,0.034179,0.027189, 1 ,,,70,dri_usa_3.2Adc_d11_m49,,,
