Code,Innovation Name,Spatial Scale,Indicator Number,Indicator Name,Description,Metric,Category,slope_log,slope_exp,slope_lin,log_t0,log_Dt,log_K,exp_a,exp_c,lin_intercept,log_r2,log_r2adj,log_rmse,log_mae,exp_r2,exp_r2adj,exp_rmse,exp_mae,lin_r2,lin_r2adj,lin_rmse,lin_mae,n_data_points,n_non_zero_data_points,max_over_K,min_over_K,range_over_k,length_trimmed_series_years,n_data_points_beyond_max,n_data_points_beyond_min,suspected_reversal_up2down,suspected_reversal_down2up,at_least_one_big_jump,autocorr_l1,all_values_less_than_or_equal_to_1,all_values_less_than_or_equal_to_100,C1_R2,C2_threshold_non_zero_value_years,C3_pct_non_zero,C4_less_than_250_jump_in_second_half,C4_less_than_80_fall_in_second_half,C4_combined_less_than_80_fall_and_250_jump_in_second_half,C5_volatility_autocorrelation_lag1_threshold_0.7,C6_{K_COVERAGE_THRESHOLD}_of_k_covered_by_data,C7_lin_r2,use_log,use_lin,Innovation Name_clean,Spatial Scale_clean,Indicator Number_clean,Indicator Name_clean,Description_clean,Metric_clean, GN scoring ,GN comments,CW scoring
act_chi_4.1Kso_d213_m100,active mobility,China,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,b7,2.095,0.076912,3.6253,2013.4,2.0976,61.747,0.65739,1963.6,-7267.6,0.79934,0.76393,14.129,9.9399,0.36338,0.29265,25.166,21.242,0.48439,0.4271,22.649,17.771,21,20,1.6195,0.017461,1.602,21,8,20,1,0,1,0.93024,0,1,y,y,y,y,y,y,y,y,y,y,y,activemobility,china,41,knowledgeflowssocialnetworks,annualisedgooglesearchfrequencyindex100monthlymax,index0100,,,
act_chi_4.1Kso_d239_m153,active mobility,China,4.1,Knowledge Flows (social networks),Partial up to max annualised Google search frequency (index 100=monthly max.),Partial up to max Index 0-100,b7,1.4191,0.32825,7.1121,2014,3.0967,95.49,0.02646,1991.7,-14274,0.98375,0.97888,4.4109,3.4117,0.88198,0.86052,11.888,8.6096,0.68641,0.6294,19.378,17.235,14,13,1.0472,0.011291,1.0359,14,1,13,0,0,1,0.80616,0,1,y,y,y,y,y,y,y,y,y,y,y,activemobility,china,41,knowledgeflowssocialnetworks,partialuptomaxannualisedgooglesearchfrequencyindex100monthlymax,partialuptomaxindex0100,,,
act_cop_1.1Ado_d332_m185,active mobility,Copenhagen,1.1,Adoption over time,% trips by walking and biking,market share,b7,0.0091394,0.0013115,0.0036752,3018,480.82,4770.1,1555.2,1.5744e+05,-6.9138,0.38803,-inf,0.050205,0.044166,-46.472,-141.42,0.44218,0.4375,0.35971,-0.92086,0.051353,0.045256,4,4,0.00010901,7.1278e-05,3.7735e-05,28,0,2,0,1,0,0.6861,1,1,m,m,y,y,y,y,m,m,y,m,m,activemobility,copenhagen,11,adoptionovertime,%tripsbywalkingandbiking,marketshare,,,
act_cop_1.1Ado_d121_m090,active mobility,Copenhagen,1.1,Adoption over time,Modal share of all trips by residents (bike),% trips by bike,b7,0.014241,0.0012979,0.0033675,2698.2,308.57,5178.5,1555.1,1.5745e+05,-6.4834,0.784,-inf,0.018985,0.018338,-38.206,-116.62,0.25578,0.2525,0.7454,0.23619,0.020612,0.020026,4,4,6.1795e-05,4.2484e-05,1.9311e-05,28,0,3,0,0,0,0.7008,1,1,y,m,y,y,y,y,y,m,y,m,m,activemobility,copenhagen,11,adoptionovertime,modalshareofalltripsbyresidentsbike,%tripsbybike,2,,
act_cop_1.1Ado_d122_m091,active mobility,Copenhagen,1.1,Adoption over time,Modal share of all trips by residents (walk),% trips by walking,b7,0.0018671,0.0010136,0.00030769,5398.8,2353.6,105.6,1555.1,1.5744e+05,-0.43046,0.0078745,-inf,0.038254,0.031586,-23.203,-71.61,0.18894,0.185,0.0070404,-1.9789,0.03827,0.031692,4,4,0.0020834,0.0011364,0.000947,28,3,2,0,1,0,0.63305,1,1,n,m,y,y,y,y,m,m,m,n,m,activemobility,copenhagen,11,adoptionovertime,modalshareofalltripsbyresidentswalk,%tripsbywalking,4,,"ok, use logfit"
act_den_4.1Kso_d213_m100,active mobility,Denmark,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,b7,5.402,0.046164,2.6871,2011.1,0.81348,61.49,1.3191,1940.1,-5371.1,0.6915,0.63706,17.672,13.515,0.18602,0.095577,28.705,24.86,0.26155,0.1795,27.341,23.166,21,20,1.6263,0.0025938,1.6237,21,9,16,1,1,1,0.94961,0,1,m,y,y,y,y,y,y,y,m,m,m,activemobility,denmark,41,knowledgeflowssocialnetworks,annualisedgooglesearchfrequencyindex100monthlymax,index0100,,,
act_den_4.1Kso_d239_m153,active mobility,Denmark,4.1,Knowledge Flows (social networks),Partial up to max annualised Google search frequency (index 100=monthly max.),Partial up to max Index 0-100,b7,1.5653,0.23927,9.3924,2011.6,2.8074,94.71,0.018335,1979.4,-18841,0.987,0.98266,4.4948,3.3401,0.82618,0.79142,16.432,14.588,0.79499,0.75399,17.846,15.859,13,12,1.0559,0.001684,1.0542,13,1,8,0,1,1,0.85982,0,1,y,y,y,y,y,y,y,y,y,y,y,activemobility,denmark,41,knowledgeflowssocialnetworks,partialuptomaxannualisedgooglesearchfrequencyindex100monthlymax,partialuptomaxindex0100,,,
act_glo_3.3Leg_d235_m020,active mobility,Global,3.3,Risk & Uncertainty (Shared Expectations),scientific publications,# publications,b7,0.098082,0.075253,339.27,2026.2,44.804,47724,0.0059608,1822.8,-6.7209e+05,0.98746,0.98672,674.84,429.14,0.98322,0.98257,780.65,440.85,0.79877,0.79103,2703.1,2313.6,55,55,0.43486,0.0017811,0.43308,55,2,54,0,0,1,0.95068,0,0,y,y,y,y,y,y,y,y,y,y,y,activemobility,global,33,riskuncertaintysharedexpectations,scientificpublications,#publications,,,
act_net_1.1Ado_d332_m185,active mobility,The Netherlands,1.1,Adoption over time,% trips by walking and biking,market share,b7,0.070442,0.026144,0.0035545,2006.4,62.384,0.21832,0.00085118,1820,-7.0219,0.97061,0.96383,0.0032828,0.0025168,0.96078,0.95518,0.0037921,0.0030679,0.96855,0.96406,0.0033959,0.0025786,17,17,0.75029,0.49115,0.25914,18,0,16,0,0,0,0.93891,1,1,y,y,y,y,y,y,y,y,y,y,y,activemobility,thenetherlands,11,adoptionovertime,%tripsbywalkingandbiking,marketshare,,,
act_net_1.1Ado_d167_m096,active mobility,The Netherlands,1.1,Adoption over time,Passenger kilometres travelled by bike,Billion p.km,b7,0.17815,0.013226,0.21626,1998.6,24.668,17.492,6.6659,1947.9,-419.53,0.71531,0.64961,0.77647,0.6553,0.60366,0.54704,0.91615,0.789,0.62081,0.56664,0.89611,0.75497,17,17,1.0233,0.79466,0.22868,18,0,16,0,0,0,0.93926,0,1,y,y,y,y,y,y,y,y,y,y,y,activemobility,thenetherlands,11,adoptionovertime,passengerkilometrestravelledbybike,billionpkm,1,,
act_net_1.1Ado_d168_m096,active mobility,The Netherlands,1.1,Adoption over time,Passenger kilometres travelled by foot,Billion p.km,b7,0.046231,0.04623,0.21548,2241.6,95.054,1.8078e+05,7.9825,2024.7,-428.98,0.82968,0.79037,0.52885,0.38907,0.82968,0.80535,0.52885,0.38906,0.7949,0.7656,0.58034,0.44108,17,17,4.4806e-05,1.8807e-05,2.5998e-05,18,1,16,0,0,0,0.92009,0,1,y,y,y,y,y,y,y,m,y,m,y,activemobility,thenetherlands,11,adoptionovertime,passengerkilometrestravelledbyfoot,billionpkm,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,activemobility,thenetherlands,23,relativeadvantagecobenefits,developmentofcyclingdistanceperperson,km,2,,
act_net_2.9Int_d133_m139,active mobility,The Netherlands,2.9,Interdependence with hardware,Number of bicycles,million,b7,0.04924,0.016526,0.34781,1998.8,89.246,31.855,5.1298,1927.5,-678.94,0.87013,0.84416,0.79224,0.66204,0.85896,0.84133,0.82561,0.71719,0.86573,0.84894,0.80556,0.69208,19,19,0.75027,0.55878,0.19149,23,0,18,0,0,0,0.94783,0,1,y,y,y,y,y,y,y,m,y,m,y,activemobility,thenetherlands,29,interdependencewithhardware,numberofbicycles,million,4,,"ok, use logfit"
act_net_4.1Kso_d213_m100,active mobility,The Netherlands,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,b7,3.0901,0.038321,1.8942,2011.4,1.4221,51.303,2.0418,1941,-3780.9,0.52841,0.44519,19.881,15.557,0.10943,0.010474,27.321,22.73,0.15696,0.063294,26.582,21.903,21,20,1.9492,0.061706,1.8875,21,8,17,1,1,1,0.93508,0,1,m,y,y,y,y,y,y,y,m,m,m,activemobility,thenetherlands,41,knowledgeflowssocialnetworks,annualisedgooglesearchfrequencyindex100monthlymax,index0100,,,
act_net_4.1Kso_d239_m153,active mobility,The Netherlands,4.1,Knowledge Flows (social networks),Partial up to max annualised Google search frequency (index 100=monthly max.),Partial up to max Index 0-100,b7,1.6018,0.19716,7.3997,2012,2.7435,83.413,0.04266,1977.7,-14842,0.93063,0.90981,9.2891,6.5157,0.72813,0.6787,18.389,15.926,0.71536,0.66361,18.816,17.608,14,13,1.1989,0.037953,1.1609,14,1,10,0,1,1,0.89127,0,1,y,y,y,m,y,m,y,y,y,m,m,activemobility,thenetherlands,41,knowledgeflowssocialnetworks,partialuptomaxannualisedgooglesearchfrequencyindex100monthlymax,partialuptomaxindex0100,,,
cro_ber_1.1Ado_d059_m126,car ownership,Berlin,1.1,Adaption over time,"Berlin Car density: 
2008-2024","cars per 1,000 inhabitants",b5,0.46191,0.0019583,0.65735,2002,9.5137,334.89,79.734,1288.1,-993.56,0.57391,0.47558,4.627,3.8783,0.20393,0.090208,6.3244,5.2346,0.2064,0.093033,6.3146,5.2253,17,17,1.0197,0.94687,0.072859,17,12,15,1,0,0,0.94371,0,0,m,y,y,y,y,y,y,m,m,m,m,carownership,berlin,11,adaptionovertime,berlincardensity20082024,carsper1000inhabitants,2,,
cro_ber_1.1Ado_d330_m185,car ownership,Berlin,1.1,Adaption over time,cars per person,market share,b5,0.46177,0.0019583,0.00065735,2002,9.5165,0.33489,1.0336,2596.5,-0.99356,0.57391,0.47558,0.004627,0.0038783,0.20393,0.090208,0.0063244,0.0052346,0.2064,0.093033,0.0063146,0.0052253,17,17,1.0197,0.94687,0.072859,17,12,15,1,0,0,0.94371,1,1,m,y,y,y,y,y,y,m,m,m,m,carownership,berlin,11,adaptionovertime,carsperperson,marketshare,,,
cro_ber_4.1Kso_d213_m100,car ownership,Berlin,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,b5,181.87,0.20584,1.8826,2021.2,0.024162,52.773,6.2492,2014.6,-3781.5,0.54289,0.46222,15.851,6.9325,0.29096,0.21217,19.741,11.95,0.23644,0.15159,20.486,13.69,21,5,1.8949,0.2219,1.673,11,2,0,1,0,1,0.38198,0,1,m,m,y,m,m,m,m,y,m,m,m,carownership,berlin,41,knowledgeflowssocialnetworks,annualisedgooglesearchfrequencyindex100monthlymax,index0100,,,
cro_ber_4.1Kso_d239_m153,car ownership,Berlin,4.1,Knowledge Flows (social networks),Partial up to max annualised Google search frequency (index 100=monthly max.),Partial up to max Index 0-100,b5,199.97,0.42355,2.1524,2021.2,0.021976,73.305,3.3079,2015.9,-4324,0.76196,0.71732,11.719,5.226,0.49667,0.43746,17.041,9.5378,0.267,0.18076,20.565,13.997,20,4,1.3642,0.31214,1.052,10,1,9,1,0,1,0.34541,0,1,y,n,y,m,m,m,m,y,m,n,n,carownership,berlin,41,knowledgeflowssocialnetworks,partialuptomaxannualisedgooglesearchfrequencyindex100monthlymax,partialuptomaxindex0100,,,
cro_glo_3.3Leg_d235_m020,car ownership,Global,3.3,Risk & Uncertainty (Shared Expectations),scientific publications,# publications,b5,0.24766,0.039326,0.29062,2020.9,17.744,36.793,-3.7042,4342.6,-576.82,0.91648,0.91157,1.8905,1.0692,-0.29374,-0.3435,7.4407,3.5455,0.49737,0.47803,4.6378,3.463,55,28,0.67947,0.027179,0.65229,33,3,32,0,0,1,0.83514,0,1,y,y,y,m,y,m,y,y,y,m,m,carownership,global,33,riskuncertaintysharedexpectations,scientificpublications,#publications,,,
cro_ham_1.1Ado_d330_m185,car ownership,Hamburg,1.1,Adaption over time,cars per person,market share,b5,-0.016613,0.0011445,0.0019703,3767.1,-264.52,0.42311,1555.5,1.5747e+05,-3.5491,-2.8868e-12,-0.23077,0.011627,0.0092644,-1324.4,-1513.7,0.42327,0.42311,0.68928,0.64489,0.0064809,0.0055996,17,17,1.0376,0.94892,0.088629,17,2,15,1,0,0,0.94355,1,1,n,y,y,y,y,y,y,m,y,n,y,carownership,hamburg,11,adaptionovertime,carsperperson,marketshare,,,
cro_ham_1.1Ado_d108_m126,car ownership,Hamburg,1.1,Adaption over time,Hamburg Car density 2008-2024,"cars per 1,000 inhabitants",b5,-0.011421,0.0046092,1.9703,4384,-384.77,423.11,40.81,1508.7,-3549.1,-6.2637e-12,-0.23077,11.627,9.2644,0.68223,0.63684,6.554,5.7013,0.68928,0.64489,6.4809,5.5996,17,17,1.0376,0.94892,0.088629,17,2,15,1,0,0,0.94355,0,0,n,y,y,y,y,y,y,m,y,n,y,carownership,hamburg,11,adaptionovertime,hamburgcardensity20082024,carsper1000inhabitants,2,,
cro_ham_4.1Kso_d213_m100,car ownership,Hamburg,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,b5,86.301,0.03302,0.29988,2014.2,0.05092,11.309,9.3806,2031,-598.58,0.070059,-0.094048,20.578,8.6164,0.0043374,-0.10629,21.293,9.6077,0.0072415,-0.10307,21.262,9.4306,21,2,8.8425,1.1576,7.6849,10,9,0,0,0,1,0,0,1,n,n,m,m,m,m,m,y,m,n,n,carownership,hamburg,41,knowledgeflowssocialnetworks,annualisedgooglesearchfrequencyindex100monthlymax,index0100,,,
cro_ham_4.1Kso_d239_m153,car ownership,Hamburg,4.1,Knowledge Flows (social networks),Partial up to max annualised Google search frequency (index 100=monthly max.),Partial up to max Index 0-100,b5,143.25,0.34624,2.7473,2014.2,0.030677,50,9.6152,2012.2,-5514.3,0.45833,0.27778,19.612,7.6923,0.18753,0.02504,24.019,13.034,0.14881,-0.021429,24.584,14.962,13,1,2,2,0,1,0,0,0,0,,,0,1,m,n,m,m,m,m,m,m,m,n,n,carownership,hamburg,41,knowledgeflowssocialnetworks,partialuptomaxannualisedgooglesearchfrequencyindex100monthlymax,partialuptomaxindex0100,,,
cro_hei_1.1Ado_d109_m127,car ownership,Heidelberg,1.1,Adaption over time,Heidelberg Car density 1993-2024,cars per 1000 inhabitants,b5,-0.0063914,-0.0063893,-2.5196,755.23,-687.56,1.2051e+06,706.32,1919.5,5461.3,0.71221,0.679,14.224,12.267,0.71221,0.69089,14.224,12.267,0.70349,0.68152,14.438,12.341,30,30,0.00036096,0.00030702,5.3936e-05,32,28,7,0,1,0,0.96526,0,0,y,y,y,y,y,y,y,m,y,m,y,carownership,heidelberg,11,adaptionovertime,heidelbergcardensity19932024,carsper1000inhabitants,1,,
crs_ger_1.1Ado_d233_m012,car sharing,Germany,1.1,Adoption over time,registered drivers,# drivers,m9,0.21557,0.19421,1.5336e+05,2030.2,20.385,2.553e+07,8.8746e-11,1825,-3.0727e+08,0.98588,0.98412,1.75e+05,1.2482e+05,0.98533,0.98416,1.784e+05,1.3187e+05,0.70735,0.68394,7.9681e+05,6.2992e+05,28,28,0.21567,0.00074421,0.21492,28,0,27,0,0,0,0.8164,0,0,y,y,y,y,y,y,y,y,y,y,y,carsharing,germany,11,adoptionovertime,registereddrivers,#drivers,1,,
crs_ger_1.1Ado_d340_m185,car sharing,Germany,1.1,Adoption over time,share of drivers who car share,market share,m9,0.26439,0.18882,0.0015878,2022.2,16.621,0.089095,3.0823,2044.6,-3.1807,0.98312,0.98091,0.0018867,0.0013394,0.97785,0.976,0.002161,0.001641,0.72543,0.70255,0.0076084,0.0062218,27,27,0.59377,0.0025884,0.59118,27,0,26,0,0,0,0.82154,1,1,y,y,y,y,y,y,y,y,y,y,y,carsharing,germany,11,adoptionovertime,shareofdriverswhocarshare,marketshare,,,
crs_ger_2.5Var_d218_m092,car sharing,Germany,2.5,Choice availability,free-floating cars as % of all shared cars,% vehicles,m9,2.3639,0.11309,0.025934,2012.2,1.859,0.47376,2.3684,2034.8,-51.933,0.96928,0.96544,0.040667,0.023258,0.80496,0.78935,0.10247,0.084869,0.81521,0.80043,0.099738,0.080944,28,13,1.2902,0.38648,0.90368,13,0,12,0,0,1,0.91266,1,1,y,y,y,y,y,y,y,y,y,y,y,carsharing,germany,25,choiceavailability,freefloatingcarsas%ofallsharedcars,%vehicles,1,,
crs_ger_2.5Var_d216_m012,car sharing,Germany,2.5,Choice availability,free-floating cars - registered drivers,# drivers,m9,0.21399,0.21398,3.2369e+05,2073.4,20.536,1.7161e+11,5.6795e-12,1831.5,-6.5158e+08,0.96965,0.95953,2.2165e+05,1.8919e+05,0.96965,0.96358,2.2165e+05,1.8919e+05,0.90616,0.88739,3.8976e+05,2.8775e+05,13,13,2.6254e-05,2.156e-07,2.6039e-05,13,0,12,0,0,1,0.79141,0,0,y,y,y,y,y,y,y,m,y,m,y,carsharing,germany,25,choiceavailability,freefloatingcarsregistereddrivers,#drivers,1,,
crs_ger_2.5Var_d217_m025,car sharing,Germany,2.5,Choice availability,free-floating cars - registered vehicles,# vehicles,m9,0.1774,0.1774,1598.6,2091.5,24.771,3.8029e+09,1.5536e-07,1878.8,-3.2156e+06,0.95201,0.93601,1424.3,1309.1,0.95201,0.94241,1424.2,1309.1,0.84641,0.81569,2547.9,1923.9,13,13,6.9289e-06,3.4184e-07,6.5871e-06,13,0,12,0,0,1,0.7929,0,0,y,y,y,y,y,y,y,m,y,m,y,carsharing,germany,25,choiceavailability,freefloatingcarsregisteredvehicles,#vehicles,1,,
crs_ger_2.5Var_d237_m012,car sharing,Germany,2.5,Choice availability,station-based or combined - registered drivers,# drivers,m9,0.1802,0.12298,34099,2022.1,24.387,1.6793e+06,1.2683e-06,1800.9,-6.8249e+07,0.99698,0.9966,16241,11892,0.98846,0.98754,31729,26770,0.86946,0.85901,1.0673e+05,94183,28,28,0.59575,0.011314,0.58443,28,0,27,0,0,0,0.89494,0,0,y,y,y,y,y,y,y,y,y,y,y,carsharing,germany,25,choiceavailability,stationbasedorcombinedregistereddrivers,#drivers,1,,
crs_ger_2.5Var_d238_m025,car sharing,Germany,2.5,Choice availability,station-based or combined - registered vehicles,# vehicles,m9,0.13982,0.092324,574.33,2021.1,31.428,27468,0.00037292,1832.6,-1.1482e+06,0.99519,0.99459,334.41,282.16,0.98509,0.9839,588.97,511.95,0.92514,0.91915,1319.7,1138.2,28,28,0.61017,0.040047,0.57013,28,0,27,0,0,0,0.91945,0,0,y,y,y,y,y,y,y,y,y,y,y,carsharing,germany,25,choiceavailability,stationbasedorcombinedregisteredvehicles,#vehicles,1,,
crs_ger_2.9Int_d236_m025,car sharing,Germany,2.9,Interdependence with Hardware,shared vehicles,# vehicles,m9,0.14721,0.13432,1286,2034.2,29.852,2.232e+05,8.1127e-06,1857.6,-2.5741e+06,0.98412,0.98214,1444.1,1158.1,0.9837,0.98239,1463.4,1165.7,0.82147,0.80718,4842.6,3952.2,28,28,0.19314,0.0049283,0.18821,28,0,27,0,0,0,0.85959,0,0,y,y,y,y,y,y,y,m,y,m,y,carsharing,germany,29,interdependencewithhardware,sharedvehicles,#vehicles,1,,
crs_ger_3.5Mar_d242_m156,car sharing,Germany,3.5,Market Formation,cumulative CumulativeStartups,cumulative cum. # companies,m9,0.18789,0.13796,4.3711,2023.9,23.388,512.33,0.0587,1962.8,-8705.6,0.99955,0.99952,1.4778,1.1491,0.99504,0.9948,4.9191,3.9433,0.66069,0.64453,40.683,33.7,45,28,0.50358,0.0019519,0.50163,28,0,27,0,0,1,0.88686,0,0,y,y,y,y,y,y,y,y,y,y,y,carsharing,germany,35,marketformation,cumulativecumulativestartups,cumulativecum#companies,,,
crs_ger_3.5Mar_d244_m158,car sharing,Germany,3.5,Market Formation,cumulative NewStartups,cumulative # companies,m9,0.23975,0.10589,0.51225,2015.7,18.329,27.299,9.7867,2014.2,-1019.8,0.98962,0.98886,0.78556,0.55153,0.95741,0.95538,1.5911,1.1577,0.74459,0.73243,3.8963,3.4729,45,28,0.84252,0.036631,0.80589,28,2,27,0,0,0,0.92947,0,1,y,y,y,y,y,y,y,y,y,y,y,carsharing,germany,35,marketformation,cumulativenewstartups,cumulative#companies,,,
crs_ger_3.5Mar_d246_m160,car sharing,Germany,3.5,Market Formation,cumulative PrivateEquityDeals,cumulative # deals,m9,0.42255,0.18846,0.49513,2019.4,10.4,37.997,11.729,2017.8,-986.73,0.99751,0.99733,0.45551,0.24898,0.9678,0.96626,1.6393,1.0256,0.49549,0.47146,6.4886,5.1961,45,14,0.84216,0.026318,0.81584,14,1,13,0,0,0,0.87883,0,1,y,y,y,y,y,y,y,y,y,y,y,carsharing,germany,35,marketformation,cumulativeprivateequitydeals,cumulative#deals,,,
