Code,Innovation Name,Spatial Scale,Indicator Number,Indicator Name,Description,Metric,Category,slope_log,slope_exp,slope_lin,log_t0,log_Dt,log_K,exp_a,exp_c,lin_intercept,log_r2,log_r2adj,log_rmse,log_mae,exp_r2,exp_r2adj,exp_rmse,exp_mae,lin_r2,lin_r2adj,lin_rmse,lin_mae,n_data_points,n_non_zero_data_points,max_over_K,min_over_K,range_over_k,length_trimmed_series_years,n_data_points_beyond_max,n_data_points_beyond_min,suspected_reversal_up2down,suspected_reversal_down2up,at_least_one_big_jump,autocorr_l1,all_values_less_than_or_equal_to_1,all_values_less_than_or_equal_to_100,C1_R2,C2_threshold_non_zero_value_years,C3_pct_non_zero,C4_less_than_250_jump_in_second_half,C4_less_than_80_fall_in_second_half,C4_combined_less_than_80_fall_and_250_jump_in_second_half,C5_volatility_autocorrelation_lag1_threshold_0.7,C6_{K_COVERAGE_THRESHOLD}_of_k_covered_by_data,C7_lin_r2,use_log,use_lin, old GN scoring @retreat,old GN comments,old CW scoring @retreat,comments_fit_CW,comments_delete_CW,comments_alternativeseries_CW,comments_transformations_CW,use_logfit_CW,use_linfit_CW,select_1.1_earegion_CW,select_1.1_allregions_CW,select_non1.1s_earegion_CW,select_non1.1s_allregions_CW,GN final scoring,use_logfit_GN,use_linfit_GN,select_1.1_earegion_GN,select_1.1_allregions_GN,select_non1.1s_earegion_GN,select_non1.1s_allregions_GN,PDF page,use_logfit_AGREE?,use_linfit_AGREE?,select_1.1_earegion_AGREE?,select_1.1_allregions_AGREE?,select_non1.1s_earegion_AGREE?,select_non1.1s_allregions_AGREE?,FINAL AGREED,use_logfit_FIN,use_linfit_FIN,select_1.1_earegion_FIN,select_1.1_allregions_FIN,select_non1.1s_earegion_FIN,select_non1.1s_allregions_FIN,Delete from working file,Unnamed: 89,code_without_indicator_name
mic_glo_3.5Mar_d247_m161,microfinance,Global,3.5,Market Formation,Partial up to max PrivateEquityDeals,Partial up to max # deals,m10,0.28434,0.13649,0.62854,2011.5,15.455,30.358,9.5322,2009.4,-1250.8,0.9396,0.93442,2.1376,1.2813,0.91068,0.90572,2.5994,1.8984,0.6615,0.64269,5.0604,4.2825,39,18,0.95526,0.03294,0.92232,30,1,29,0,0,1,0.88633,0,1,y,y,y,m,y,m,y,y,y,m,m,,,,not needed as transformed-cumulative preferred,1,delete,transformed-partial,0,0,0,0,0,0,,1,1,0,0,0,0,917,check,check,,,,,,1,1,0,0,0,0,delete,,mic_glo_3.5_d247_m161
mic_glo_3.5Mar_d249_m163,microfinance,Global,3.5,Market Formation,Partial up to max PrivateEquityInvestment,Partial up to max $ million,m10,0.22463,0.18501,7.9904,2025.3,19.563,1675.7,0.0059858,1960.2,-15914,0.71568,0.69381,82.911,38.237,0.71439,0.70011,83.098,39.575,0.40667,0.377,119.77,80.256,43,18,0.49146,0.0017007,0.48976,19,1,18,0,0,1,0.62548,0,0,y,y,y,m,y,m,m,y,y,m,m,,,,not needed as transformed-cumulative preferred,1,delete,transformed-partial,0,0,0,0,0,0,,1,1,0,0,0,0,919,check,check,,,,,,1,1,0,0,0,0,delete,,mic_glo_3.5_d249_m163
mic_glo_3.5Mar_d251_m163,microfinance,Global,3.5,Market Formation,Partial up to max TotalFundraisingAmount,Partial up to max $ million,m10,28.138,0.24409,40.676,2012.1,0.15617,3082.2,2.1671e-05,1938.2,-80937,0.51034,0.46296,667.11,247.83,0.35827,0.31816,763.71,306.66,0.18568,0.13479,860.3,429.26,35,14,1.8224,0.00023866,1.8222,15,1,13,0,0,1,0.22726,0,0,m,y,y,m,m,m,m,y,m,m,m,,,,not needed as transformed-cumulative preferred,1,delete,transformed-partial,0,0,0,0,0,0,,0,1,0,0,0,0,921,,check,,,,,,0,1,0,0,0,0,delete,,mic_glo_3.5_d251_m163
mic_glo_3.5Mar_d253_m161,microfinance,Global,3.5,Market Formation,Partial up to max TotalFundraisingDeals,Partial up to max # deals,m10,0.36644,0.12281,1.748,2009.2,11.992,67.987,1.5031,1985.5,-3477.7,0.98571,0.98449,2.7759,1.8337,0.92878,0.92483,6.1969,4.8572,0.71773,0.70205,12.337,10.562,39,28,1.0884,0.014709,1.0737,34,1,33,0,0,1,0.92079,0,1,y,y,y,y,y,y,y,y,y,y,y,,,,not needed as transformed-cumulative preferred,1,delete,transformed-partial,0,0,0,0,0,0,,1,1,0,0,0,0,923,check,check,,,,,,1,1,0,0,0,0,delete,,mic_glo_3.5_d253_m161
mic_ind_3.5Mar_d242_m156,microfinance,India,3.5,Market Formation,cumulative CumulativeStartups,cumulative cum. # companies,m10,0.12315,0.074681,21.023,2016.7,35.683,1279.8,0.03157,1885,-41796,0.99748,0.99729,14.382,12.905,0.98053,0.9796,39.941,35.651,0.90975,0.90546,85.991,74.898,45,42,0.7267,0.00078139,0.72592,42,0,41,0,0,0,0.94036,0,0,y,y,y,y,y,y,y,y,y,y,y,,,,not needed as transformed-cumulative twice (error),1,delete,transformed-cumx2error,0,0,0,0,0,0,,1,1,0,0,0,0,939,check,check,,,,,,1,1,0,0,0,0,delete,,mic_ind_3.5_d242_m156
mic_ind_3.5Mar_d243_m157,microfinance,India,3.5,Market Formation,Partial up to max CumulativeStartups,Partial up to max cum. # companies,m10,0.1197,0.051949,1.1098,2005.2,36.711,47.758,3.2791,1969.8,-2201,0.97917,0.97757,2.0051,1.611,0.9287,0.92513,3.7098,3.277,0.98269,0.98183,1.8276,1.5272,43,40,0.87944,0.020939,0.8585,40,1,39,0,0,0,0.96252,0,1,y,y,y,y,y,y,y,y,y,y,y,,,,not needed as transformed-cumulative preferred,1,delete,transformed-partial,0,0,0,0,0,0,,1,1,0,0,0,0,940,check,check,,,,,,1,1,0,0,0,0,delete,,mic_ind_3.5_d243_m157
mic_ind_3.5Mar_d244_m158,microfinance,India,3.5,Market Formation,cumulative NewStartups,cumulative # companies,m10,0.12138,0.048101,1.0947,2004.9,36.204,47.06,3.4984,1968.4,-2171,0.98118,0.9798,1.9671,1.5816,0.9173,0.91336,4.1235,3.6565,0.98315,0.98235,1.8612,1.5942,45,42,0.89248,0.021249,0.87123,42,3,41,0,0,0,0.96716,0,1,y,y,y,y,y,y,y,y,y,y,y,,,,not needed as cumulative in original data,1,delete,transformed-cumulative,0,0,0,0,0,0,,1,1,0,0,0,0,941,check,check,,,,,,1,1,0,0,0,0,delete,,mic_ind_3.5_d244_m158
mic_ind_3.5Mar_d245_m159,microfinance,India,3.5,Market Formation,Partial up to max NewStartups,Partial up to max # companies,m10,-0.027571,0.041212,0.041129,4642.3,-159.39,1,3.8495,2029.3,-81.052,-2.3603e-13,-0.11111,1.3198,0.90323,0.076508,0.010544,1.2683,0.96853,0.077688,0.011809,1.2675,0.95895,31,17,5,1,4,28,1,27,0,0,1,0.42353,0,1,n,y,y,m,m,m,m,y,m,n,m,,,,not needed as transformed-cumulative preferred,1,delete,transformed-partial,0,0,0,0,0,0,,0,1,0,0,0,0,942,,check,,,,,,0,1,0,0,0,0,delete,,mic_ind_3.5_d245_m159
mic_ind_3.5Mar_d247_m161,microfinance,India,3.5,Market Formation,Partial up to max PrivateEquityDeals,Partial up to max # deals,m10,0.18562,0.020883,0.20931,2020.5,23.675,26.677,1551,1.5785e+05,-416.57,0.87563,0.86497,1.0701,0.71615,-0.37018,-0.4463,3.5518,1.8462,0.60274,0.58067,1.9125,1.5131,39,13,0.41235,0.074972,0.33737,13,1,7,0,1,1,0.8252,0,1,y,y,y,y,y,y,y,y,y,y,y,,,,not needed as transformed-cumulative preferred,1,delete,transformed-partial,0,0,0,0,0,0,,1,1,0,0,0,0,944,check,check,,,,,,1,1,0,0,0,0,delete,,mic_ind_3.5_d247_m161
mic_ind_3.5Mar_d249_m163,microfinance,India,3.5,Market Formation,Partial up to max PrivateEquityInvestment,Partial up to max $ million,m10,0.18684,0.12424,3.3195,2021.2,23.52,305.36,0.18926,1967.4,-6609.4,0.4436,0.40187,55.872,26.71,0.43828,0.41088,56.139,29.179,0.3167,0.28337,61.916,42.471,44,17,1.0686,0.013716,1.0548,18,1,11,0,1,1,0.4881,0,0,m,y,y,m,m,m,m,y,y,m,m,,,,not needed as transformed-cumulative preferred,1,delete,transformed-partial,0,0,0,0,0,0,,1,1,0,0,0,0,946,check,check,,,,,,1,1,0,0,0,0,delete,,mic_ind_3.5_d249_m163
mic_ind_3.5Mar_d251_m163,microfinance,India,3.5,Market Formation,Partial up to max TotalFundraisingAmount,Partial up to max $ million,m10,2.0273,0.22153,15.84,2017.5,2.1677,1237.9,0.00029162,1951.5,-31545,0.5058,0.46573,272.46,110.02,0.46016,0.43174,284.77,106.78,0.23385,0.19352,339.25,166.5,41,17,1.9517,0.00043267,1.9513,20,1,19,0,0,1,0.36511,0,0,m,y,y,m,m,m,m,y,m,m,m,,,,not needed as transformed-cumulative preferred,1,delete,transformed-partial,0,0,0,0,0,0,,1,1,0,0,0,0,948,check,check,,,,,,1,1,0,0,0,0,delete,,mic_ind_3.5_d251_m163
mic_ind_3.5Mar_d253_m161,microfinance,India,3.5,Market Formation,Partial up to max TotalFundraisingDeals,Partial up to max # deals,m10,0.25938,0.042604,0.43785,2015.1,16.942,32.48,1546.7,1.5828e+05,-871.32,0.90898,0.90118,1.9564,1.0102,-0.37082,-0.44697,7.5922,3.9487,0.57752,0.55405,4.2148,3.2861,39,18,0.83129,0.030789,0.8005,34,1,33,0,0,1,0.84119,0,1,y,y,y,m,m,m,y,y,y,m,m,,,,not needed as transformed-cumulative preferred,1,delete,transformed-partial,0,0,0,0,0,0,,1,1,0,0,0,0,950,check,check,,,,,,1,1,0,0,0,0,delete,,mic_ind_3.5_d253_m161
mic_nig_3.5Mar_d242_m156,microfinance,Nigeria,3.5,Market Formation,cumulative CumulativeStartups,cumulative cum. # companies,m10,0.1384,0.092409,5.4951,2020.5,31.752,425.44,0.034974,1926.5,-10933,0.99901,0.99893,2.4774,2.0581,0.98938,0.98887,8.0954,7.1916,0.82556,0.81725,32.805,28.145,45,38,0.62053,0.0023505,0.61818,38,0,37,0,0,0,0.92543,0,0,y,y,y,y,y,y,y,y,y,y,y,,,,not needed as transformed-cumulative twice (error),1,delete,transformed-cumx2error,0,0,0,0,0,0,,1,1,0,0,0,0,968,check,check,,,,,,1,1,0,0,0,0,delete,,mic_nig_3.5_d242_m156
mic_nig_3.5Mar_d243_m157,microfinance,Nigeria,3.5,Market Formation,Partial up to max CumulativeStartups,Partial up to max cum. # companies,m10,0.16617,0.071967,0.39172,2009.8,26.446,17.273,10.69,2015,-778.4,0.96221,0.95931,1.009,0.75552,0.92086,0.9169,1.4603,1.2217,0.87703,0.87088,1.8202,1.5035,43,36,0.86843,0.057895,0.81053,36,1,35,0,0,0,0.94778,0,1,y,y,y,y,y,y,y,y,y,y,y,,,,not needed as transformed-cumulative preferred,1,delete,transformed-partial,0,0,0,0,0,0,,1,1,0,0,0,0,969,check,check,,,,,,1,1,0,0,0,0,delete,,mic_nig_3.5_d243_m157
mic_nig_3.5Mar_d244_m158,microfinance,Nigeria,3.5,Market Formation,cumulative NewStartups,cumulative # companies,m10,0.17177,0.065345,0.39592,2009.4,25.583,16.746,9.4071,2013.7,-786.76,0.96677,0.96434,0.99222,0.73319,0.91051,0.90625,1.6283,1.3792,0.89238,0.88726,1.7856,1.4514,45,38,0.89574,0.059716,0.83602,38,3,37,0,0,0,0.95593,0,1,y,y,y,y,y,y,y,y,y,y,y,,,,not needed as cumulative in original data,1,delete,transformed-cumulative,0,0,0,0,0,0,,1,1,0,0,0,0,970,check,check,,,,,,1,1,0,0,0,0,delete,,mic_nig_3.5_d244_m158
mic_nig_3.5Mar_d245_m159,microfinance,Nigeria,3.5,Market Formation,Partial up to max NewStartups,Partial up to max # companies,m10,34.11,0.0046093,0.03782,2007,0.12883,2.5,1554.3,1.5751e+05,-75.098,0.6371,0.59522,0.5,0.2,-0.16129,-0.24731,0.89443,0.33333,0.15555,0.092997,0.76271,0.50085,30,6,1.6,0.4,1.2,23,1,22,0,0,1,0.5,0,1,m,y,y,m,m,m,m,y,m,m,m,,,,not needed as transformed-cumulative preferred,1,delete,transformed-partial,0,0,0,0,0,0,,0,1,0,0,0,0,971,,check,,,,,,0,1,0,0,0,0,delete,,mic_nig_3.5_d245_m159
mic_nig_3.5Mar_d247_m161,microfinance,Nigeria,3.5,Market Formation,Partial up to max PrivateEquityDeals,Partial up to max # deals,m10,0.34684,0.0020821,0.01129,2030,12.67,719.98,1554.7,1.5747e+05,-22.46,0.22503,0.13893,0.31108,0.11012,-0.033333,-0.10714,0.35921,0.064516,0.081667,0.016071,0.33863,0.14953,31,1,0.0027778,0.0027778,0,1,0,0,0,0,,,0,1,n,n,m,m,m,m,m,m,m,n,n,,,,not needed as transformed-cumulative preferred,1,delete,transformed-partial,0,0,0,0,0,0,,0,0,0,0,0,0,973,,,,,,,,0,0,0,0,0,0,delete,,mic_nig_3.5_d247_m161
mic_nig_3.5Mar_d249_m163,microfinance,Nigeria,3.5,Market Formation,Partial up to max PrivateEquityInvestment,Partial up to max $ million,m10,0.34596,0.0010666,0.00069817,2049.6,12.702,843.84,1555,1.5746e+05,-1.3918,0.23191,0.17431,0.031339,0.0093893,-0.024143,-0.074101,0.036188,0.0055561,0.06147,0.015688,0.034642,0.013135,44,2,0.00028441,5.2972e-06,0.00027912,14,0,13,0,0,1,0,1,1,n,m,m,m,m,m,m,m,m,n,m,,,,not needed as transformed-cumulative preferred,1,delete,transformed-partial,0,0,0,0,0,0,,0,0,0,0,0,0,975,,,,,,,,0,0,0,0,0,0,delete,,mic_nig_3.5_d249_m163
mic_nig_3.5Mar_d251_m163,microfinance,Nigeria,3.5,Market Formation,Partial up to max TotalFundraisingAmount,Partial up to max $ million,m10,166.13,0.026647,0.2679,2011,0.026452,27.452,1549.8,1.5796e+05,-533.18,0.4837,0.43207,6.6604,1.6444,-0.032577,-0.099194,9.4191,1.673,0.080397,0.021068,8.8889,3.7979,34,4,2,0.00016283,1.9998,5,0,3,0,1,1,0.017723,0,1,m,n,y,m,y,m,m,y,m,n,n,,,,not needed as transformed-cumulative preferred,1,delete,transformed-partial,0,0,0,0,0,0,,0,0,0,0,0,0,977,,,,,,,,0,0,0,0,0,0,delete,,mic_nig_3.5_d251_m163
mic_nig_3.5Mar_d253_m161,microfinance,Nigeria,3.5,Market Formation,Partial up to max TotalFundraisingDeals,Partial up to max # deals,m10,35.045,0.0044995,0.037054,2008,0.1254,1.2727,1554.4,1.5752e+05,-73.665,0.48762,0.44492,0.55186,0.28182,-0.30389,-0.37437,0.88034,0.425,0.30781,0.2704,0.64142,0.47499,40,11,2.3571,0.78571,1.5714,29,0,28,0,0,1,0.45161,0,1,m,y,y,m,m,m,m,y,y,m,m,,,,not needed as transformed-cumulative preferred,1,delete,transformed-partial,0,0,0,0,0,0,,0,1,0,0,0,0,979,,check,,,,,,0,1,0,0,0,0,delete,,mic_nig_3.5_d253_m161
sus_glo_3.5Mar_d300_m156,sustainable fashion,Global,3.5,Market Formation,cumulative CumulativeStartups (2nd hand clothes),cumulative cum. # companies,m1,0.15075,0.15074,9.4152,2085.7,29.151,7.0048e+06,0.0074313,1948.6,-18744,0.99625,0.99597,9.5553,8.2401,0.99625,0.99607,9.5553,8.2399,0.61471,0.59636,96.806,75.892,45,44,8.9367e-05,1.4276e-07,8.9225e-05,44,0,43,0,0,0,0.86804,0,0,y,y,y,y,y,y,y,m,y,m,y,,,,not needed as transformed-cumulative twice (error),1,delete,transformed-cumx2error,0,0,0,0,0,0,,,,,,,,1446,,,,,,,,0,0,0,0,0,0,delete,,sus_glo_3.5_d300_m156
sus_glo_3.5Mar_d301_m157,sustainable fashion,Global,3.5,Market Formation,Partial up to max CumulativeStartups (2nd hand clothes),Partial up to max cum. # companies,m1,0.29411,0.13392,1.2734,2017.8,14.941,82.748,3.4235,2000.4,-2535.4,0.99447,0.99406,1.5548,1.3748,0.96908,0.9676,3.6764,2.4855,0.62576,0.60794,12.789,10.679,45,44,0.82177,0.012085,0.80968,44,1,43,0,0,0,0.91236,0,1,y,y,y,y,y,y,y,y,y,y,y,,,,not needed as transformed-cumulative preferred,1,delete,transformed-partial,0,0,0,0,0,0,,,,,,,,1447,,,,,,,,0,0,0,0,0,0,delete,,sus_glo_3.5_d301_m157
sus_glo_3.5Mar_d302_m156,sustainable fashion,Global,3.5,Market Formation,cumulative CumulativeStartups (sust fashion),cumulative cum. # companies,m1,0.14389,0.13828,28.138,2041,30.541,22339,0.0011666,1920.9,-56021,0.99953,0.9995,9.7665,7.7783,0.99946,0.99944,10.458,7.1819,0.65812,0.64184,263.38,210.68,45,43,0.07892,4.4764e-05,0.078875,43,0,42,0,0,1,0.87686,0,0,y,y,y,y,y,y,y,m,y,m,y,,,,not needed as transformed-cumulative twice (error),1,delete,transformed-cumx2error,0,0,0,0,0,0,,,,,,,,1448,,,,,,,,0,0,0,0,0,0,delete,,sus_glo_3.5_d302_m156
sus_glo_3.5Mar_d303_m157,sustainable fashion,Global,3.5,Market Formation,Partial up to max CumulativeStartups (sust fashion),Partial up to max cum. # companies,m1,0.19639,0.12478,3.504,2021,22.376,306.24,0.14992,1965.9,-6975.7,0.99453,0.99413,4.0824,3.0587,0.98512,0.98441,6.7342,3.9263,0.67957,0.66432,31.248,26.162,45,43,0.60084,0.0032654,0.59757,43,1,42,0,0,0,0.91226,0,0,y,y,y,y,y,y,y,y,y,y,y,,,,not needed as transformed-cumulative preferred,1,delete,transformed-partial,0,0,0,0,0,0,,,,,,,,1449,,,,,,,,0,0,0,0,0,0,delete,,sus_glo_3.5_d303_m157
sus_glo_3.5Mar_d304_m158,sustainable fashion,Global,3.5,Market Formation,cumulative NewStartups (2nd hand clothes),cumulative # companies,m1,0.29411,0.13392,1.2734,2017.8,14.941,82.748,3.4235,2000.4,-2535.4,0.99447,0.99406,1.5548,1.3748,0.96908,0.9676,3.6764,2.4855,0.62576,0.60794,12.789,10.679,45,44,0.82177,0.012085,0.80968,44,1,43,0,0,0,0.91236,0,1,y,y,y,y,y,y,y,y,y,y,y,,,,not needed as cumulative in original data,1,delete,transformed-cumulative,0,0,0,0,0,0,,,,,,,,1450,,,,,,,,0,0,0,0,0,0,delete,,sus_glo_3.5_d304_m158
sus_glo_3.5Mar_d305_m159,sustainable fashion,Global,3.5,Market Formation,Partial up to max NewStartups (2nd hand clothes),Partial up to max # companies,m1,0.46807,0.014972,0.14731,2012.8,9.3884,6.7775,1552.2,1.5774e+05,-293.23,0.89684,0.88869,0.76535,0.42476,-0.38379,-0.45475,2.8031,1.4762,0.56152,0.53903,1.5779,1.2616,42,17,1.4755,0.14755,1.3279,41,1,40,0,0,1,0.85152,0,1,y,y,y,m,m,m,y,y,y,m,m,,,,not needed as cumulative in original data,1,delete,transformed-partial,0,0,0,0,0,0,,,,,,,,1451,,,,,,,,0,0,0,0,0,0,delete,,sus_glo_3.5_d305_m159
sus_glo_3.5Mar_d306_m158,sustainable fashion,Global,3.5,Market Formation,cumulative NewStartups (sust fashion),cumulative # companies,m1,0.19639,0.12478,3.504,2021,22.376,306.24,0.14992,1965.9,-6975.7,0.99453,0.99413,4.0824,3.0587,0.98512,0.98441,6.7342,3.9263,0.67957,0.66432,31.248,26.162,45,43,0.60084,0.0032654,0.59757,43,1,42,0,0,0,0.91226,0,0,y,y,y,y,y,y,y,y,y,y,y,,,,not needed as cumulative in original data,1,delete,transformed-cumulative,0,0,0,0,0,0,,,,,,,,1452,,,,,,,,0,0,0,0,0,0,delete,,sus_glo_3.5_d306_m158
