Code,Innovation Name,Spatial Scale,Indicator Number,Indicator Name,Description,Metric,Category,slope_log,slope_exp,slope_lin,log_t0,log_Dt,log_K,exp_a,exp_c,lin_intercept,log_r2,log_r2adj,log_rmse,log_mae,exp_r2,exp_r2adj,exp_rmse,exp_mae,lin_r2,lin_r2adj,lin_rmse,lin_mae,n_data_points,n_non_zero_data_points,max_over_K,min_over_K,range_over_k,length_trimmed_series_years,n_data_points_beyond_max,n_data_points_beyond_min,suspected_reversal_up2down,suspected_reversal_down2up,at_least_one_big_jump,autocorr_l1,all_values_less_than_or_equal_to_1,all_values_less_than_or_equal_to_100,C1_R2,C2_threshold_non_zero_value_years,C3_pct_non_zero,C4_less_than_250_jump_in_second_half,C4_less_than_80_fall_in_second_half,C4_combined_less_than_80_fall_and_250_jump_in_second_half,C5_volatility_autocorrelation_lag1_threshold_0.7,C6_{K_COVERAGE_THRESHOLD}_of_k_covered_by_data,C7_lin_r2,use_log,use_lin
act_cop_1.1Ado_d122_m91,active mobility,Copenhagen,1.1,Adoption over time,Modal share of all trips by residents (walk),% trips by walking,b7,0.0018682,0.0018631,0.030769,5096.5,2352.3,6032.6,28.766,2237.3,-43.046,0.0078733,-inf,3.8254,3.1585,0.0078762,-1.9764,3.8254,3.1584,0.0070404,-1.9789,3.827,3.1692,4,4,0.0036469,0.0019892,0.0016577,28,3,2,0,1,0,0.63305,0,1,n,m,y,y,y,y,m,m,m,n,m
act_den_4.1Kso_d213_m100,active mobility,Denmark,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,b7,5.402,0.046164,2.6871,2011.1,0.81348,61.49,1.3191,1940.1,-5371.1,0.6915,0.63706,17.672,13.515,0.18602,0.095577,28.705,24.86,0.26155,0.1795,27.341,23.166,21,20,1.6263,0.0025938,1.6237,21,9,16,1,1,1,0.94961,0,1,m,y,y,y,y,y,y,y,m,m,m
act_glo_3.3Leg_d235_m20,active mobility,Global,3.3,Risk & Uncertainty (Shared Expectations),scientific publications,# publications,b7,0.098082,0.075253,339.27,2026.2,44.804,47724,0.0059608,1822.8,-6.7209e+05,0.98746,0.98672,674.84,429.14,0.98322,0.98257,780.65,440.85,0.79877,0.79103,2703.1,2313.6,55,55,0.43486,0.0017811,0.43308,55,2,54,0,0,1,0.95068,0,0,y,y,y,y,y,y,y,y,y,y,y
act_net_1.1Ado_d167_m96,active mobility,The Netherlands,1.1,Adoption over time,Passenger kilometres travelled by bike,Billion p.km,b7,0.17815,0.013226,0.21626,1998.6,24.668,17.492,6.6659,1947.9,-419.53,0.71531,0.64961,0.77647,0.6553,0.60366,0.54704,0.91615,0.789,0.62081,0.56664,0.89611,0.75497,17,17,1.0233,0.79466,0.22868,18,0,16,0,0,0,0.93926,0,1,y,y,y,y,y,y,y,y,y,y,y
act_net_1.1Ado_d168_m96,active mobility,The Netherlands,1.1,Adoption over time,Passenger kilometres travelled by foot,Billion p.km,b7,0.046231,0.04623,0.21548,2241.6,95.054,1.8078e+05,7.9825,2024.7,-428.98,0.82968,0.79037,0.52885,0.38907,0.82968,0.80535,0.52885,0.38906,0.7949,0.7656,0.58034,0.44108,17,17,4.4806e-05,1.8807e-05,2.5998e-05,18,1,16,0,0,0,0.92009,0,1,y,y,y,y,y,y,y,m,y,m,y
act_net_2.9Int_d133_m139,active mobility,The Netherlands,2.9,Interdependence with hardware,Number of bicycles,million,b7,0.04924,0.016526,0.34781,1998.8,89.246,31.855,5.1298,1927.5,-678.94,0.87013,0.84416,0.79224,0.66204,0.85896,0.84133,0.82561,0.71719,0.86573,0.84894,0.80556,0.69208,19,19,0.75027,0.55878,0.19149,23,0,18,0,0,0,0.94783,0,1,y,y,y,y,y,y,y,m,y,m,y
act_net_4.1Kso_d213_m100,active mobility,The Netherlands,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,b7,3.0901,0.038321,1.8942,2011.4,1.4221,51.303,2.0418,1941,-3780.9,0.52841,0.44519,19.881,15.557,0.10943,0.010474,27.321,22.73,0.15696,0.063294,26.582,21.903,21,20,1.9492,0.061706,1.8875,21,8,17,1,1,1,0.93508,0,1,m,y,y,y,y,y,y,y,m,m,m
cli_ban_1.1Ado_d72_m17,climate protest,Bangladesh,1.1,Adoption over Time,Count of participants at protest events related to climate,# people (estimated),s3,-0.027296,0.089972,18.132,987.17,-160.99,-637.76,0.023617,1923.1,-36460,-0.12339,-0.49785,336.55,111.54,0.026697,-0.16796,313.27,169.47,0.045649,-0.14522,310.2,161.88,13,3,-1.8816,-0.1568,-1.7248,3,2,1,0,1,1,0.091681,0,0,n,n,y,y,y,y,m,m,m,n,n
cli_ban_1.1Ado_d73_m19,climate protest,Bangladesh,1.1,Adoption over Time,Count of protest events related to climate,# protest events,s3,-0.068604,0.12799,1.8187,2528.3,-64.056,9.3846,9.1992,2017.2,-3658.9,-1.5987e-14,-0.33333,16.914,11.763,0.11556,-0.061327,15.907,10.359,0.16186,-0.0057636,15.485,9.6932,13,6,6.6066,0.31967,6.2869,13,4,12,1,0,1,0.43956,0,1,n,y,y,m,m,m,m,y,m,n,m
cli_ban_4.1Kso_d213_m100,climate protest,Bangladesh,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,s3,-174.65,-0.060495,-0.64935,2009.9,-0.025161,16.667,-1523.3,-1.5477e+05,1312.6,0.125,-0.029412,19.92,7.9365,-0.05,-0.16667,21.822,4.7619,0.034091,-0.073232,20.93,9.0703,21,1,6,6,0,1,0,0,0,0,,,0,1,n,n,m,m,m,m,m,m,m,n,n
cli_ger_1.1Ado_d72_m17,climate protest,Germany,1.1,Adoption over Time,Count of participants at protest events related to climate,# people (estimated),s3,60.624,0.20014,45.856,2019.2,0.072487,528.29,0.00038393,1953,-92329,0.35984,0.14645,325.24,152.67,0.14896,-0.021243,375,229.31,0.17816,0.013788,368.51,227.02,13,4,2.8785,0.17053,2.708,4,2,1,1,1,1,0.30332,0,0,m,n,y,y,m,m,m,y,m,n,n
cli_ger_1.1Ado_d73_m19,climate protest,Germany,1.1,Adoption over Time,Count of protest events related to climate,# protest events,s3,0.55455,0.51177,54.467,2026,7.9243,5218.4,3.6135e-08,1976.3,-1.097e+05,0.92641,0.90188,71.314,50.782,0.92613,0.91136,71.446,51.438,0.601,0.5212,166.05,124.63,13,4,0.16844,0.062088,0.10635,4,0,3,0,0,1,0.53716,0,0,y,n,y,y,y,y,m,m,y,n,n
cli_ger_4.1Kso_d213_m100,climate protest,Germany,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,s3,212.17,0.51165,1.778,2022.1,0.020712,73.455,6.8564,2019.5,-3574,0.87386,0.8516,8.1921,2.5281,0.56273,0.51414,15.253,6.7587,0.21788,0.13098,20.399,13.075,21,2,1.3614,0.63861,0.72277,2,1,0,0,0,1,0.38449,0,1,y,n,m,y,y,y,m,y,m,n,n
cli_glo_1.1Ado_d72_m17,climate protest,Global,1.1,Adoption over Time,Count of participants at protest events related to climate,# people (estimated),s3,31.314,0.22821,23497,2020,0.14034,2.8233e+05,1.1765e-10,1868.3,-4.7314e+07,0.53678,0.38238,1.082e+05,52394,0.28074,0.13688,1.3483e+05,80313,0.30582,0.16698,1.3246e+05,82335,13,6,2.1159,0.0025856,2.1133,6,2,5,1,0,1,0.47317,0,0,m,y,y,m,y,m,m,y,y,m,m
cli_glo_1.1Ado_d73_m19,climate protest,Global,1.1,Adoption over Time,Count of protest events related to climate,# protest events,s3,2.5665,0.32388,286.75,2019.6,1.7123,3020.5,1.4801e-08,1942,-5.7748e+05,0.98971,0.98629,130.03,65.57,0.8161,0.77932,549.83,425.8,0.70027,0.64032,701.95,606.4,13,11,1.0826,0.00066214,1.0819,13,2,9,1,1,1,0.78507,0,0,y,y,y,m,y,m,y,y,y,m,m
cli_glo_3.3Leg_d235_m20,climate protest,Global,3.3,Risk & Uncertainty (Shared Expectations),scientific publications,# publications,s3,1.1684,0.27203,0.87143,2020.4,3.7609,109.63,1.3702,2007.4,-1731.3,0.9816,0.98052,3.4645,1.5596,0.9218,0.9188,7.1429,2.9621,0.29329,0.2661,21.474,14.652,55,18,1.0946,0.0091219,1.0855,18,1,17,0,0,1,0.83129,0,0,y,y,y,y,y,y,y,y,m,y,m
cli_glo_4.1Kso_d213_m100,climate protest,Global,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,s3,0.4309,0.24422,4.2507,2021.4,10.198,125.07,0.12705,1996.5,-8539.3,0.94384,0.93393,7.3129,4.4112,0.92857,0.92063,8.2475,5.9196,0.69573,0.66192,17.022,14.887,21,13,0.79958,0.018351,0.78123,16,0,15,0,0,1,0.77068,0,1,y,y,y,m,y,m,y,y,y,m,m
cli_ind_1.1Ado_d72_m17,climate protest,India,1.1,Adoption over Time,Count of participants at protest events related to climate,# people (estimated),s3,0.10969,0.075956,3.6184,2304.9,40.063,571.46,1.0927,1975.7,-7273.1,-0.083333,-0.44444,91.325,25.329,0.013221,-0.18413,87.16,47.056,0.02381,-0.17143,86.692,45.648,13,1,0.5762,0.5762,0,1,0,0,0,0,,,0,0,n,n,m,m,m,m,m,m,m,n,n
cli_ind_1.1Ado_d73_m19,climate protest,India,1.1,Adoption over Time,Count of protest events related to climate,# protest events,s3,35.876,0.11054,1.5165,2018.1,0.12249,21.032,10.015,2018.9,-3050.4,0.22756,-0.029918,18.389,9.2383,0.047804,-0.14264,20.417,11.21,0.073545,-0.11175,20.139,10.661,13,7,3.8038,0.095094,3.7087,8,4,7,1,0,1,0.067222,0,1,n,y,y,m,m,m,m,y,m,n,m
cli_ind_4.1Kso_d213_m100,climate protest,India,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,s3,14.147,0.12314,1.2987,2024.2,0.31062,1199.6,1518.4,1.6116e+05,-2610.8,1,1,1.7089e-05,3.8083e-06,-0.05,-0.16667,21.822,4.7619,0.13636,0.040404,19.791,10.719,21,1,0.083361,0.083361,0,1,0,0,0,0,,,0,1,y,n,m,m,m,m,m,m,m,n,n
cli_swe_1.1Ado_d72_m17,climate protest,Sweden,1.1,Adoption over Time,Count of participants at protest events related to climate,# people (estimated),s3,33.316,0.39541,9.4124,2021,0.1319,140.35,0.007599,1998.3,-18958,0.7728,0.69706,27.045,11.823,0.52763,0.43316,38.996,22.563,0.38528,0.26234,44.485,30.453,13,4,1.4826,0.12992,1.3527,4,1,3,1,0,1,0.49868,0,0,y,n,y,m,y,m,m,y,y,n,n
cli_swe_1.1Ado_d73_m19,climate protest,Sweden,1.1,Adoption over Time,Count of protest events related to climate,# protest events,s3,12.04,0.32417,56.709,2019.8,0.36499,582.33,4.7697e-06,1964.9,-1.1421e+05,0.99913,0.99883,7.7889,3.3362,0.75556,0.70668,130.26,105.59,0.64864,0.57837,156.17,135.72,13,4,1.0372,0.91528,0.12192,4,1,3,1,0,0,0.76673,0,0,y,n,y,y,y,y,y,m,y,n,n
cli_uki_1.1Ado_d72_m17,climate protest,UK,1.1,Adoption over Time,Count of participants at protest events related to climate,# people (estimated),s3,34.757,0.30546,7.7839,2020,0.12643,90.488,0.038129,1997.4,-15676,0.76956,0.69274,20.826,8.9841,0.50406,0.40488,30.552,18.916,0.45069,0.34083,32.154,22.168,13,4,1.6453,0.48173,1.1636,4,2,3,1,0,1,0.52026,0,0,y,n,y,y,y,y,m,y,y,n,n
cli_uki_1.1Ado_d73_m19,climate protest,UK,1.1,Adoption over Time,Count of protest events related to climate,# protest events,s3,142.71,0.24732,17.473,2019.3,0.030793,189.25,0.00079707,1972.8,-35184,0.87997,0.83996,32.259,14.538,0.47821,0.37385,67.26,53.355,0.49297,0.39156,66.302,56.159,13,4,1.2999,0.50198,0.79788,4,2,0,1,0,0,0.76721,0,0,y,n,y,y,y,y,y,y,y,n,n
cli_uki_4.1Kso_d213_m100,climate protest,UK,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,s3,0.67755,0.30176,3.9101,2021.2,6.4858,109.82,0.1268,2001.7,-7856.7,0.95278,0.94445,6.641,4.2123,0.92657,0.91841,8.2817,5.1799,0.6002,0.55577,19.324,15.549,21,8,0.91056,0.065414,0.84515,11,0,8,0,1,1,0.73322,0,1,y,y,y,y,y,y,y,y,y,y,y
cli_usa_1.1Ado_d72_m17,climate protest,US,1.1,Adoption over Time,Count of participants at protest events related to climate,# people (estimated),s3,235.53,0.20397,16.902,2019.2,0.018658,201.62,0.0021963,1967.6,-34030,0.5588,0.41173,82.686,39.373,0.22131,0.065567,109.85,67.084,0.2581,0.10972,107.22,66.197,13,4,2.2694,0.46929,1.8001,4,3,1,0,1,1,0.36441,0,0,m,n,y,y,y,y,m,y,m,n,n
cli_usa_1.1Ado_d73_m19,climate protest,US,1.1,Adoption over Time,Count of protest events related to climate,# protest events,s3,30.267,0.32844,23.055,2020,0.14519,256,3.1735e-05,1974.2,-46432,0.97725,0.96966,16.59,7.2308,0.72468,0.66962,57.707,43.032,0.61523,0.53827,68.22,54.259,13,4,1.1836,0.57031,0.61328,4,2,3,1,0,1,0.77694,0,0,y,n,y,y,y,y,y,y,y,n,n
cli_usa_4.1Kso_d213_m100,climate protest,US,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,s3,0.53398,0.243,4.6225,2020.3,8.2297,111.88,0.10178,1995.2,-9286.9,0.92033,0.90626,9.6468,4.8701,0.89043,0.87826,11.313,8.219,0.67079,0.63421,19.609,17.283,21,12,0.89378,0.021376,0.8724,12,0,9,0,1,1,0.78065,0,1,y,y,y,m,y,m,y,y,y,m,m
coh_den_1.1Ado_d134_m7,co-housing,Denmark,1.1,Adoption over time,Number of cohousing communities,# communities,b11,0.22051,0.033741,2.6225,1984.9,19.929,101.42,1.6723,1886.7,-5160.5,0.98488,0.97731,4.8001,4.2608,0.78505,0.72364,18.096,15.686,0.91844,0.89514,11.147,9.6045,10,10,1.0846,0.0098597,1.0747,45,0,9,0,0,1,0.87616,0,0,y,y,y,y,y,y,y,y,y,y,y
coh_den_1.1Ado_d138_m21,co-housing,Denmark,1.1,Adoption over time,Number of housing units in cohousing communities,# residents,b11,0.21247,0.033852,58.453,1985.3,20.683,2285.2,0.12287,1718.9,-1.1503e+05,0.98448,0.97517,109.66,101.47,0.77105,0.69473,421.16,375.09,0.91189,0.88252,261.27,233.12,9,9,1.0542,0.028881,1.0253,45,0,8,0,0,1,0.85327,0,0,y,y,y,y,y,y,y,y,y,y,y
coh_den_4.1Kso_d213_m100,co-housing,Denmark,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,b11,-633.3,-0.25292,-1.3766,2006,-0.006939,50,13.116,2007.9,2779.4,0.39236,0.28512,17.173,6.9048,0.20154,0.11282,19.685,10.513,0.14318,0.047973,20.392,11.958,21,3,2,0.26,1.74,10,9,0,0,0,1,0,0,1,m,n,y,m,m,m,m,y,m,n,n
coh_ger_1.1Ado_d141_m18,co-housing,Germany,1.1,Adoption over time,Number of projects,# projects,b11,0.20463,0.079755,9.41,1994.8,21.475,316.23,0.013744,1880.2,-18604,0.99968,-inf,1.9287,1.3164,0.96104,0.88313,21.387,19.667,0.94267,0.828,25.946,23.25,4,4,0.88859,0.02846,0.86013,31,0,3,0,0,1,0.48336,0,0,y,m,y,m,y,m,m,y,y,m,m
coh_ger_4.1Kso_d213_m100,co-housing,Germany,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,b11,8.4602,0.081366,3.1097,2015.8,0.51943,60.75,0.69242,1968.7,-6233.1,0.56835,0.49218,21.829,13.407,0.26817,0.18686,28.423,24.248,0.32122,0.2458,27.373,22.15,21,13,1.6461,0.13169,1.5144,20,4,13,1,1,1,0.85774,0,1,m,y,y,m,m,m,y,y,y,m,m
coh_glo_3.3Leg_d235_m20,co-housing,Global,3.3,Risk & Uncertainty (Shared Expectations),scientific publications,# publications,b11,0.27253,0.11544,1.9577,2017.1,16.125,163.27,0.52109,1974.5,-3883.9,0.93237,0.92839,10.683,6.5048,0.90593,0.90231,12.599,6.3893,0.57237,0.55592,26.862,21.259,55,45,0.9861,0.0061249,0.97998,48,4,46,0,0,1,0.92044,0,0,y,y,y,y,y,y,y,y,y,y,y
coh_swi_4.1Kso_d213_m100,co-housing,Switzerland,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,b11,0.041953,0.041932,0.3,2188.8,104.75,11208,10.708,2023.1,-596.63,0.0057693,-0.16968,24.109,13.493,0.0057701,-0.1047,24.109,13.495,0.0056446,-0.10484,24.111,13.529,21,2,0.0089225,0.0052642,0.0036582,13,12,0,0,0,1,0,0,1,n,m,m,m,m,m,m,m,m,n,m
coh_usa_1.1Ado_d142_m21,co-housing,US,1.1,Adoption over time,Number of residents living in cohousing communities,# residents,b11,0.47637,0.21446,213.23,1996.4,9.2249,3414.8,2.1402e-05,1912.4,-4.2394e+05,0.99947,0.99907,23.805,21.643,0.96347,0.94886,197.86,179.86,0.89095,0.84734,341.85,309.88,8,8,0.85099,0.015521,0.83547,15,0,7,0,0,1,0.70294,0,0,y,y,y,y,y,y,y,y,y,y,y
coh_usa_4.1Kso_d213_m100,co-housing,US,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,b11,-0.33502,-0.18979,-4.687,2006.7,-13.117,148.14,54.938,2007.8,9469.7,0.97488,0.97045,5.1376,4.3268,0.96038,0.95597,6.453,4.7975,0.76644,0.74048,15.667,13.556,21,20,0.67502,0.014553,0.66046,21,20,4,0,1,1,0.86068,0,1,y,y,y,m,m,m,y,y,y,m,m
coh_vau_1.1Ado_d137_m9,co-housing,Canton de Vaud (Switzerland),1.1,Adoption over time,Number of housing cooperatives in Canton de Vaud (Switzerland),# cooperatives,b11,0.045173,0.028481,1.2003,2000.2,97.281,198.97,4.7043,1895.6,-2308.5,0.98344,0.97722,5.6478,4.5254,0.97105,0.96461,7.4671,6.7865,0.89851,0.87596,13.98,10.883,12,12,0.69859,0.0050258,0.69356,112,0,11,0,0,1,0.75851,0,0,y,y,y,y,y,y,y,y,y,y,y
cro_ber_1.1Ado_d59_m126,car ownership,Berlin,1.1,Adaption over time,"Berlin Car density: 
2008-2024","cars per 1,000 inhabitants",b5,0.46191,0.0019583,0.65735,2002,9.5137,334.89,79.734,1288.1,-993.56,0.57391,0.47558,4.627,3.8783,0.20393,0.090208,6.3244,5.2346,0.2064,0.093033,6.3146,5.2253,17,17,1.0197,0.94687,0.072859,17,12,15,1,0,0,0.94371,0,0,m,y,y,y,y,y,y,m,m,m,m
cro_ber_4.1Kso_d213_m100,car ownership,Berlin,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,b5,181.87,0.20584,1.8826,2021.2,0.024162,52.773,6.2492,2014.6,-3781.5,0.54289,0.46222,15.851,6.9325,0.29096,0.21217,19.741,11.95,0.23644,0.15159,20.486,13.69,21,5,1.8949,0.2219,1.673,11,2,0,1,0,1,0.38198,0,1,m,m,y,m,m,m,m,y,m,m,m
cro_glo_3.3Leg_d235_m20,car ownership,Global,3.3,Risk & Uncertainty (Shared Expectations),scientific publications,# publications,b5,0.24766,0.039326,0.29062,2020.9,17.744,36.793,-3.7042,4342.6,-576.82,0.91648,0.91157,1.8905,1.0692,-0.29374,-0.3435,7.4407,3.5455,0.49737,0.47803,4.6378,3.463,55,28,0.67947,0.027179,0.65229,33,3,32,0,0,1,0.83514,0,1,y,y,y,m,y,m,y,y,y,m,m
cro_ham_1.1Ado_d108_m126,car ownership,Hamburg,1.1,Adaption over time,Hamburg Car density 2008-2024,"cars per 1,000 inhabitants",b5,-0.011421,0.0046092,1.9703,4384,-384.77,423.11,40.81,1508.7,-3549.1,-6.2637e-12,-0.23077,11.627,9.2644,0.68223,0.63684,6.554,5.7013,0.68928,0.64489,6.4809,5.5996,17,17,1.0376,0.94892,0.088629,17,2,15,1,0,0,0.94355,0,0,n,y,y,y,y,y,y,m,y,n,y
cro_ham_4.1Kso_d213_m100,car ownership,Hamburg,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,b5,86.301,0.03302,0.29988,2014.2,0.05092,11.309,9.3806,2031,-598.58,0.070059,-0.094048,20.578,8.6164,0.0043374,-0.10629,21.293,9.6077,0.0072415,-0.10307,21.262,9.4306,21,2,8.8425,1.1576,7.6849,10,9,0,0,0,1,0,0,1,n,n,m,m,m,m,m,y,m,n,n
cro_hei_1.1Ado_d109_m127,car ownership,Heidelberg,1.1,Adaption over time,Heidelberg Car density 1993-2024,cars per 1000 inhabitants,b5,-0.0063914,-0.0063893,-2.5196,755.23,-687.56,1.2051e+06,706.32,1919.5,5461.3,0.71221,0.679,14.224,12.267,0.71221,0.69089,14.224,12.267,0.70349,0.68152,14.438,12.341,30,30,0.00036096,0.00030702,5.3936e-05,32,28,7,0,1,0,0.96526,0,0,y,y,y,y,y,y,y,m,y,m,y
crs_ger_1.1Ado_d233_m12,car sharing,Germany,1.1,Adoption over time,registered drivers,# drivers,m9,0.21557,0.19421,1.5336e+05,2030.2,20.385,2.553e+07,8.8746e-11,1825,-3.0727e+08,0.98588,0.98412,1.75e+05,1.2482e+05,0.98533,0.98416,1.784e+05,1.3187e+05,0.70735,0.68394,7.9681e+05,6.2992e+05,28,28,0.21567,0.00074421,0.21492,28,0,27,0,0,0,0.8164,0,0,y,y,y,y,y,y,y,y,y,y,y
crs_ger_2.5Var_d216_m12,car sharing,Germany,2.5,Choice availability,free-floating cars - registered drivers,# drivers,m9,0.21399,0.21398,3.2369e+05,2073.4,20.536,1.7161e+11,5.6795e-12,1831.5,-6.5158e+08,0.96965,0.95953,2.2165e+05,1.8919e+05,0.96965,0.96358,2.2165e+05,1.8919e+05,0.90616,0.88739,3.8976e+05,2.8775e+05,13,13,2.6254e-05,2.156e-07,2.6039e-05,13,0,12,0,0,1,0.79141,0,0,y,y,y,y,y,y,y,m,y,m,y
