Code,Innovation Name,Spatial Scale,Indicator Number,Indicator Name,Description,Metric,Category,slope_log,slope_exp,slope_lin,log_t0,log_Dt,log_K,exp_a,exp_c,lin_intercept,log_r2,log_r2adj,log_rmse,log_mae,exp_r2,exp_r2adj,exp_rmse,exp_mae,lin_r2,lin_r2adj,lin_rmse,lin_mae
coh_ger_1.1Ado_d142_m19,Co-housing,Germany,1.1,Adoption over time,Number of projects,# projects,b11,0.20463,0.079755,9.41,1994.8,21.475,316.23,0.013744,1880.2,-18604,0.99968,-inf,1.9287,1.3164,0.96104,0.88313,21.387,19.667,0.94267,0.828,25.946,23.25
coh_usa_1.1Ado_d143_m22,Co-housing,United States,1.1,Adoption over time,Number of residents living in cohousing communities,# residents,b11,0.47637,0.21446,213.23,1996.4,9.2249,3414.8,2.1402e-05,1912.4,-4.2394e+05,0.99947,0.99907,23.805,21.643,0.96347,0.94886,197.86,179.86,0.89095,0.84734,341.85,309.88
coh_vau_1.1Ado_d138_m9,Co-housing,Canton de Vaud (Switzerland),1.1,Adoption over time,Number of housing cooperatives in Canton de Vaud (Switzerland),# cooperatives,b11,0.045173,0.028481,1.2003,2000.2,97.28,198.97,4.7043,1895.6,-2308.5,0.98344,0.97722,5.6478,4.5254,0.97105,0.96461,7.4671,6.7865,0.89851,0.87596,13.98,10.883
cro_ber_1.1Ado_d58_m123,car ownership,Berlin,1.1,Adaption over time,"Berlin Car density: 
2008-2024","cars per 1,000 inhabitants",b5,0.4619,0.0019583,0.65735,2002,9.5138,334.89,79.734,1288.1,-993.56,0.57391,0.47558,4.627,3.8783,0.20393,0.090208,6.3244,5.2346,0.2064,0.093033,6.3146,5.2253
cro_ham_1.1Ado_d109_m123,car ownership,Hamburg,1.1,Adaption over time,Hamburg Car density 2008-2024,"cars per 1,000 inhabitants",b5,0.21243,0.0046092,1.9703,1996.9,20.687,434.74,40.81,1508.7,-3549.1,0.84235,0.80597,4.6163,3.8976,0.68223,0.63684,6.554,5.7013,0.68928,0.64489,6.4809,5.5996
cro_hei_1.1Ado_d110_m124,car ownership,Heidelberg,1.1,Adaption over time,Heidelberg Car density 1993-2024,cars per 1000 inhabitants,b5,-0.0063909,-0.0063893,-2.5196,710.32,-687.61,1.6046e+06,706.32,1919.5,5461.3,0.71221,0.679,14.224,12.267,0.71221,0.69089,14.224,12.267,0.70349,0.68152,14.438,12.341
crs_ger_1.1Ado_d228_m12,car sharing,Germany,1.1,Adoption over time,registered drivers,# drivers,m9,0.21557,0.19421,1.5336e+05,2030.2,20.385,2.553e+07,8.8746e-11,1825,-3.0727e+08,0.98588,0.98412,1.75e+05,1.2482e+05,0.98533,0.98416,1.784e+05,1.3187e+05,0.70735,0.68394,7.9681e+05,6.2992e+05
crs_ger_2.5Var_d211_m12,car sharing,Germany,2.5,Choice availability,free-floating cars - registered drivers,# drivers,m9,0.21399,0.21398,3.2369e+05,2072.8,20.536,1.5e+11,5.6795e-12,1831.5,-6.5158e+08,0.96965,0.95953,2.2165e+05,1.8919e+05,0.96965,0.96358,2.2165e+05,1.8919e+05,0.90616,0.88739,3.8976e+05,2.8775e+05
crs_ger_2.5Var_d212_m26,car sharing,Germany,2.5,Choice availability,free-floating cars - registered vehicles,# vehicles,m9,0.1774,0.1774,1598.6,2091.5,24.771,3.8158e+09,1.5536e-07,1878.8,-3.2156e+06,0.95201,0.93601,1424.3,1309.1,0.95201,0.94241,1424.2,1309.1,0.84641,0.81569,2547.9,1923.9
crs_ger_2.5Var_d213_m90,car sharing,Germany,2.5,Choice availability,free-floating cars as % of all shared cars,% vehicles,m9,2.3639,0.11309,0.025934,2012.2,1.859,0.47376,2.3684,2034.8,-51.933,0.96928,0.96544,0.040667,0.023258,0.80496,0.78935,0.10247,0.084869,0.81521,0.80043,0.099738,0.080944
crs_ger_2.5Var_d232_m12,car sharing,Germany,2.5,Choice availability,station-based or combined - registered drivers,# drivers,m9,0.1802,0.12298,34099,2022.1,24.387,1.6793e+06,1.2683e-06,1800.9,-6.8249e+07,0.99698,0.9966,16241,11892,0.98846,0.98754,31729,26770,0.86946,0.85901,1.0673e+05,94183
crs_ger_2.5Var_d233_m26,car sharing,Germany,2.5,Choice availability,station-based or combined - registered vehicles,# vehicles,m9,0.13982,0.092324,574.33,2021.1,31.428,27468,0.00037292,1832.6,-1.1482e+06,0.99519,0.99459,334.41,282.16,0.98509,0.9839,588.97,511.95,0.92514,0.91915,1319.7,1138.2
crs_ger_2.9Int_d231_m26,car sharing,Germany,2.9,Interdependence with Hardware,shared vehicles,# vehicles,m9,0.14721,0.13432,1286,2034.2,29.852,2.232e+05,8.1127e-06,1857.6,-2.5741e+06,0.98412,0.98214,1444.1,1158.1,0.9837,0.98239,1463.4,1165.7,0.82147,0.80718,4842.6,3952.2
crs_ger_4.2Kme_d1_m130,car sharing,Germany,4.2,Knowledge Flows (mass media),"""car sharing"" mention in books",index (2022=100),m9,0.20878,0.12447,4.1051,2018.2,21.048,155.13,0.18231,1970.2,-8213.7,0.97131,0.9674,5.6147,5.1835,0.95503,0.95112,7.03,5.9975,0.86257,0.85062,12.29,10.506
crs_glo_3.5Mar_d127_m8,car sharing,Global,3.5,Market Formation,NewStartups,# companies,m9,0.60417,0.053732,0.42714,2008.7,7.2735,16.05,9.1395,2012.2,-849,0.62337,0.59581,5.1127,3.081,0.38354,0.35418,6.5411,4.5711,0.44339,0.41688,6.2154,4.4379
crs_glo_3.5Mar_d166_m11,car sharing,Global,3.5,Market Formation,PrivateEquityDeals,# deals,m9,0.81262,0.099582,0.91647,2013.6,5.4077,38.125,6.9255,2004.9,-1825.3,0.90602,0.89914,4.8064,2.169,0.71392,0.70029,8.3858,5.9143,0.57633,0.55616,10.205,8.5432
crs_glo_3.5Mar_d170_m28,car sharing,Global,3.5,Market Formation,PrivateEquityInvestment,$ million,m9,25.419,0.078857,72.166,2014,0.17288,3339.9,0.005882,1856.7,-1.437e+05,0.36692,0.3206,1814,722.6,0.17664,0.13744,2068.8,1081.4,0.16899,0.12942,2078.4,1188.3
crs_glo_3.5Mar_d196_m28,car sharing,Global,3.5,Market Formation,TotalFundraisingAmount,$ million,m9,,0.075492,154.29,,,,0.01763,1853.9,-3.0716e+05,,,,,0.28325,0.24912,3210.2,2079.3,0.27925,0.24493,3219.2,2256.2
crs_glo_3.5Mar_d200_m11,car sharing,Global,3.5,Market Formation,TotalFundraisingDeals,# deals,m9,0.68118,0.10081,1.381,2013.6,6.4513,57.915,1.6773,1986.9,-2750.4,0.92211,0.91641,6.4557,3.1016,0.75337,0.74162,11.487,7.9465,0.60123,0.58224,14.607,12.386
crs_glo_3.5Mar_d73_m125,car sharing,Global,3.5,Market Formation,CumulativeStartups,cum. # companies,m9,0.25922,0.10787,6.0866,2015.7,16.952,324.98,0.024613,1935.7,-12116,0.99432,0.99391,6.9906,5.8813,0.95891,0.95695,18.804,13.624,0.72618,0.71314,48.54,42.918
crz_fra_1.1Ado_d57_m133,mobesity,France,1.1,Adoption over Time,Average weight of all new sales / registrations (kg),kg,b3,0.0031375,0.0031245,4.1338,3760.2,1400.6,3.2138e+05,120.58,1244.2,-6989,0.49631,0.41237,26.451,24.065,0.49632,0.4433,26.45,24.065,0.49518,0.44204,26.48,24.064
crz_ger_1.1Ado_d52_m143,mobesity,Germany,1.1,Adoption over Time,Average length of all new car sales / registrations (kg),mm,b3,,0.002317,10.033,,,,311,873.82,-15840,,,,,0.8758,0.86119,21.789,12.5,0.87562,0.86098,21.805,12.46
crz_ger_1.1Ado_d56_m133,mobesity,Germany,1.1,Adoption over Time,Average weight of all new car sales / registrations (kg),kg,b3,,0.0057937,8.4444,,,,58.198,1455.1,-15523,,,,,0.7495,0.72314,31.03,25.366,0.74668,0.72002,31.204,25.419
dow_swi_1.1Ado_d187_m86,Downsizing,Switzerland,1.1,Adoption over time,Share of people living in a small dwelling with high wellbeing,% people,b10,0.20989,0.051925,0.266,2025.2,20.937,7.5455,-5.9005,7540.8,-535.4,0.98713,0.94853,0.04311,0.036973,-18.849,-38.697,1.6932,1.65,0.97973,0.95946,0.054111,0.0416
dri_sto_1.1Ado_d31_m71,drivers license,Stockholm,1.1,Adoption over Time,% of population holding a drivers licence,% of population,b9,-0.079347,-0.00010085,-5.3361e-05,2296.2,-55.383,0.53399,0.56004,1540.6,0.6414,-2.9967e-09,-3,0.0061737,0.0055959,0.0037694,-0.99246,0.006162,0.0055958,0.0037354,-0.99253,0.0061621,0.0055959
dri_sto_1.1Ado_d6_m46,drivers license,Stockholm,1.1,Adoption over Time,% of 18-19yr age group holding a drivers licence,% of 18-19yr olds,b9,0.018264,0.018264,0.004499,2570.8,240.6,6854.1,2.2448e-08,1122.9,-8.7965,0.76953,0.078113,0.017874,0.016363,0.76953,0.53906,0.017874,0.016363,0.73006,0.46013,0.019344,0.018109
dri_sto_1.1Ado_d7_m44,drivers license,Stockholm,1.1,Adoption over Time,"% of 18-19yr age group holding a drivers licence, by gender",% of 18-19yr old females,b9,-0.92598,-0.063561,-0.68741,1996.3,-4.7457,8441.9,-1523.2,-1.5478e+05,1387.4,0.99927,0.99708,0.18687,0.14418,-0.28305,-1.5661,7.8288,3.6771,0.49459,-0.010815,4.9136,4.1715
dri_sto_1.1Ado_d7_m45,drivers license,Stockholm,1.1,Adoption over Time,"% of 18-19yr age group holding a drivers licence, by gender",% of 18-19yr old males,b9,,-0.94048,-1.1887,,,,10.297,2004.1,2399.1,,,,,0.99956,0.99912,0.25006,0.19356,0.49749,-0.0050229,8.4476,7.1755
dri_sto_1.1Ado_d8_m47,drivers license,Stockholm,1.1,Adoption over Time,% of 18-19yr age group in 2003 holding a drivers licence,% of 18-19yr olds in 2003 cohort,b9,4.7178,0.0020636,0.011816,2003,0.93147,0.50612,1555.1,1.5749e+05,-23.333,0.91253,0.65013,0.033275,0.024933,-16.167,-33.333,0.46616,0.45238,0.55148,0.10297,0.075349,0.063955
dri_swe_1.1Ado_d31_m71,drivers license,Sweden,1.1,Adoption over Time,% of population holding a drivers licence,% of population,b9,-0.0079247,0.0012141,0.00096677,4979.2,-554.52,0.79333,0.17332,746.87,-1.1399,-5.529e-10,3,0.0094281,0.0088889,0.77033,-inf,0.0045183,0.0042591,0.77341,-inf,0.0044879,0.0042296
dri_swe_1.1Ado_d6_m43,drivers license,Sweden,1.1,Adoption over Time,% of 18-19yr age group holding a drivers licence,% of 18-19yr age group,b9,-0.022396,-0.022396,-0.0092404,1502.9,-196.21,29334,1.3617,1948.4,18.918,0.74424,0.68943,0.045534,0.036587,0.74424,0.71014,0.045534,0.036587,0.67556,0.6323,0.051285,0.039707
dri_usa_1.1Ado_d30_m71,drivers license,US,1.1,Adoption over time,% of population (residents) holding a drivers licence,% of population,b9,0.080086,0.0012346,0.0031067,1951.4,54.872,0.69372,1555.2,1.5742e+05,-5.5491,0.96897,0.96739,0.011371,0.0095098,-97.205,-100.48,0.63968,0.63642,0.76595,0.75815,0.031229,0.027826
dri_usa_2.2Rel_d105_m129,drivers license,US,2.2,Relative Advantage (profitability),Fuel efficiency (VMT per gallon),index (1989=1),b9,0.028013,0.0077988,0.0076289,1958.4,156.87,1.3665,6.5383,2238.1,-14.228,0.90882,0.90419,0.044219,0.03492,0.88224,0.87831,0.050254,0.041248,0.8974,0.89398,0.046907,0.038396
dri_usa_2.2Rel_d51_m122,drivers license,US,2.2,Relative Advantage (profitability),Average cost of mile traveled by bus / car,bus/car cost per mile traveled,b9,0.22464,0.010593,0.0075206,1998.5,19.562,0.72714,0.18661,1891.1,-14.459,0.54721,0.44272,0.044062,0.029971,0.37192,0.28219,0.051895,0.034375,0.38961,0.30241,0.051159,0.033317
dri_usa_2.2Rel_d54_m27,drivers license,US,2.2,Relative Advantage (profitability),Average total cost of mile traveled by bus,$ (constant 2022),b9,0.10122,0.0021684,0.01276,2009.1,43.413,0.54245,1555,1.575e+05,-25.364,0.99091,0.98882,0.0066512,0.0055446,-20.421,-23.481,0.32292,0.31529,0.98784,0.98611,0.0076924,0.0055572
dri_usa_2.2Rel_d55_m27,drivers license,US,2.2,Relative Advantage (profitability),Average total cost of mile traveled by car,$ (constant 2022),b9,0.033059,0.0023437,0.014741,2333.1,132.93,18228,1555,1.5749e+05,-29.201,0.89445,0.87582,0.031015,0.02234,-22.911,-25.568,0.46681,0.45694,0.87423,0.86025,0.033856,0.021976
dri_usa_2.3Rel_d204_m68,drivers license,US,2.3,Relative Advantage (Co-Benefits),Traffic death rates,% of licensed drivers,b9,-0.019402,,-4.6624e-06,1760.3,-226.5,0.023617,,,0.0095505,0.91967,0.90113,1.0472e-05,8.9427e-06,,,,,0.88995,0.87422,1.2257e-05,1.0224e-05
dri_usa_2.9Int_d125_m129,drivers license,US,2.9,Inter-dependence with Hardware,Motor fuel consumption,index (1989=1),b9,0.058448,0.013664,0.014717,1971.8,75.186,1.4247,0.92135,1986.2,-28.289,0.96314,0.96127,0.05337,0.045064,0.87233,0.86807,0.099333,0.078457,0.92667,0.92423,0.07528,0.059045
dri_usa_2.9Int_d194_m142,drivers license,US,2.9,Inter-dependence with Hardware,Total number of vehicles registered,million vehicles,b9,0.050866,0.017431,3.3895,1981.5,86.393,309.93,6.1063,1797.8,-6563,0.99369,0.99337,4.9237,4.3744,0.94654,0.94476,14.329,12.851,0.98911,0.98875,6.4659,5.7872
dri_usa_3.2Adc_d11_m49,drivers license,US,3.2,Adopter characteristics,% of age cohort 18 yrs in 1978 holding a drivers licence,% of 18yr olds in 1978,b9,-0.0098407,0.0011129,0.0021156,5227.3,-446.56,0.91456,1555.5,1.5742e+05,-3.3266,-1.0281e-13,-1,0.04806,0.033588,-362.12,-543.68,0.91582,0.91456,0.49423,0.24135,0.034179,0.027189
dri_usa_3.2Adc_d12_m50,drivers license,US,3.2,Adopter characteristics,% of age cohort 18 yrs in 1988 holding a drivers licence,% of 18yr olds in 1988,b9,-2.0789,0.0069052,0.0062562,2160.4,-2.1139,0.88083,5.2017,2266.9,-11.689,-1.2707e-10,-1.5,0.11235,0.083275,0.46723,0.11205,0.082009,0.063242,0.49239,0.15399,0.080049,0.062662
dri_usa_3.2Adc_d13_m51,drivers license,US,3.2,Adopter characteristics,% of age cohort 18 yrs in 2008 holding a drivers licence,% of 18yr olds in 2008,b9,0.085348,0.0026862,0.018764,2003.5,51.489,1.0993,1555.2,1.575e+05,-37.023,0.98934,-inf,0.010627,0.0085054,-64.898,-196.69,0.83543,0.82907,0.98694,0.96083,0.01176,0.0096661
dri_usa_3.2Adc_d14_m52,drivers license,US,3.2,Adopter characteristics,% of age cohort 18 yrs in 2019 holding a drivers licence,% of 18yr olds in 2019,b9,0.33682,0.005666,0.050773,2016.7,13.047,0.89938,1554.1,1.5762e+05,-101.89,1,1,1.7506e-13,1.7431e-13,-117.39,-inf,0.69071,0.68779,0.99516,-inf,0.0044184,0.0040907
dri_usa_3.2Adc_d32_m41,drivers license,US,3.2,Adopter characteristics,"% of population holding a drivers licence, by age group",% of 16yr olds,b9,-0.064247,-0.014538,-0.0054538,2020.3,-68.399,0.50182,2.9568,1855.2,11.278,0.96405,0.93709,0.017743,0.012073,0.9016,0.86224,0.029354,0.021859,0.93324,0.90654,0.024179,0.016733
dri_usa_3.2Adc_d32_m42,drivers license,US,3.2,Adopter characteristics,"% of population holding a drivers licence, by age group",% of 17yr olds,b9,-0.0092329,-0.0092314,-0.0048884,1053.9,-475.96,3347.5,5.4514,1749.2,10.321,0.62644,0.34627,0.063041,0.04138,0.62644,0.47702,0.063041,0.04138,0.61712,0.46397,0.063822,0.042372
dri_usa_3.2Adc_d32_m48,drivers license,US,3.2,Adopter characteristics,"% of population holding a drivers licence, by age group",% of 18yr olds,b9,-0.0063155,-0.006307,-0.0042911,953.34,-695.82,507.98,0.1967,2197.4,9.2692,0.70609,0.48566,0.045922,0.032019,0.70609,0.58853,0.045922,0.032018,0.7051,0.58714,0.046,0.032109
dri_usa_3.2Adc_d32_m53,drivers license,US,3.2,Adopter characteristics,"% of population holding a drivers licence, by age group",% of 19yr olds,b9,-0.010012,-0.0050108,-0.0038449,2000.3,-438.94,1.5406,0.89527,1969.6,8.4612,0.88364,0.79638,0.023124,0.017243,0.88313,0.83639,0.023175,0.018139,0.88384,0.83737,0.023105,0.01725
dri_usa_3.2Adc_d32_m54,drivers license,US,3.2,Adopter characteristics,"% of population holding a drivers licence, by age group",% of 20-24 yr olds,b9,-0.0083771,-0.0038488,-0.0032878,2020,-524.58,1.5833,0.29216,2279.2,7.4332,0.9621,0.93367,0.010817,0.0098363,0.96158,0.94622,0.01089,0.0096286,0.96213,0.94698,0.010813,0.0097805
dri_usa_3.2Adc_d32_m55,drivers license,US,3.2,Adopter characteristics,"% of population holding a drivers licence, by age group",% of 25-29 yr olds,b9,-0.0033617,-0.0033574,-0.0030565,16.6,-1307.2,722.31,0.37602,2265.6,7.0316,0.80958,0.66677,0.024635,0.022763,0.80959,0.73343,0.024635,0.022763,0.80534,0.72748,0.024908,0.022991
dri_usa_3.2Adc_d32_m56,drivers license,US,3.2,Adopter characteristics,"% of population holding a drivers licence, by age group",% of <=19 yr olds,b9,-0.075902,0.00033889,-0.0063917,2024.5,-57.896,0.67677,1555.5,1.5742e+05,13.326,0.59835,0.29712,0.092151,0.083982,-13.3,-19.019,0.54985,0.53027,0.5309,0.34326,0.09959,0.090787
